,Unnamed: 0,Rank,Title,Status,Study Results,Conditions,Interventions,Locations,URL,field1,inclusion_creteria,field2,exclusion_creteria
1285,1285,1286,Pathogenesis of BTK-mediated Hyper-Inflammatory Responses in COVID-19 (RESPOND),Recruiting,No Results Available,COVID-19,,"Johns Hopkins Hospital, Baltimore, Maryland, United States|Walter Reed National Medical Center, Bethesda, Maryland, United States",https://ClinicalTrials.gov/show/NCT04394884,"
INCLUSION CRITERIA:
",,"
Ability to provide informed consent, and
Men and women >=18 years of age at the time of signing the informed consent form, and
Diagnosis of COVID-19 in hospitalized patients with hypoxemia (SpO2 less than or equal to 94% on room air), with plan to receive or not receive BTK inhibition for clinical or for external research study purposes, or
Does not have COVID-19 and does have plan to receive BTK inhibition therapy for a clinical indication other than COVID-19 (either hospitalized or not).
",
3,3,4,Collection of Convalescent SARS Plasma by Apheresis,Completed,No Results Available,Severe Acute Respiratory Syndrome|SARS,,"The Chinese University of Hong Kong, Hong Kong, China",https://ClinicalTrials.gov/show/NCT00342524,"
INCLUSION CRITERIA:
",,"
Clinical diagnosis of SARS occurring greater than or equal to 3 months prior to screening. (objective documentation of SARS is not necessary)
The ability to understand and willingness to sign a written consent form and comply with study requirements and procedures.
",
376,376,377,Technical Development of Cardiovascular Magnetic Resonance Imaging (CMR) Using a Low Specific Absorption Rate (SAR) Scanner System,Recruiting,No Results Available,CAD,Device: MRI scan x 1 Healthy Volunteer|Device: MRI scan x 2 Healthy Volunteer|Device: MRI scan x 2 - CAD patients|Device: MRI scan x 2- non CAD patients,"National Institutes of Health Clinical Center, Bethesda, Maryland, United States",https://ClinicalTrials.gov/show/NCT03331380,"
INCLUSION CRITERIA:
",,"
Men and women age greater than or equal to 18 years
Able to provide informed consent in writing
Willingness to cooperate with all study procedures (including food restriction) and available for scheduled study events
",
1279,1279,1280,A Longitudinal Study of COVID-19 Sequelae and Immunity,Recruiting,No Results Available,COVID-19,,"National Institutes of Health Clinical Center, Bethesda, Maryland, United States",https://ClinicalTrials.gov/show/NCT04411147,"
INCLUSION CRITERIA:
",,"
Stated willingness to comply with all study procedures and availability for the duration of the study
Age 18 years or older.
Ability of participant to understand and the willingness to sign a written informed consent document.
Hemoglobin of 9.0 gm/dl or higher
Willingness to give consent for the storage of blood samples for research.
Have a physician or clinic outside NIH to manage underlying medical conditions or agreeing to establish care with an outside physician or clinic for any medical conditions requiring treatment that may be diagnosed as a result of protocol participation.
",
338,338,339,Transmissibility and Viral Load of SARS-CoV-2 in Oral Secretions,Recruiting,No Results Available,COVID-19,,"National Institutes of Health Clinical Center, Bethesda, Maryland, United States",https://ClinicalTrials.gov/show/NCT04348240,"
INCLUSION CRITERIA:
",,"
Willing and able to sign and date the informed consent form
Willing to comply with all study procedures and available for study visits and calls
Male or female, aged >= 18 years of age
Persons who test COVID-19 positive (verbal confirmation followed by documented test results, sent electronically) and are asymptomatic or have mild symptoms (e.g., fever, mild malaise, sore throat or sneezing) individuals who have re-tested and are negative may be enrolled to understand progression and resolution of disease; persons hospitalized at the NIH Clinical Center meeting Inclusion Criteria 1-3 may be enrolled on this study
Persons considered high risk for COVID-19 due to personal contact within the past 7 days with a COVID-19 positive individual (e.g., co-habitating family member of COVID-19 positive) and has no symptoms or mild symptoms of COVID-19 - verbal confirmation followed by documented test results of positive individual, sent electronically
",
333,333,334,Surveillance of Individuals Following SARS-CoV-2 Exposure,Recruiting,No Results Available,COVID-19,,"National Institutes of Health Clinical Center, Bethesda, Maryland, United States",https://ClinicalTrials.gov/show/NCT04383444,"
INCLUSION CRITERIA:
",,"
Works at an NIH facility and is able to come to the NIH campus for study visits.
Age greater than or equal to 18 years.
Is on the NIH OMS-qualified SARS-CoV-2/COVID-19 contact list in the last 7 days.
Able to provide informed consent.
Willing to allow storage of samples for future research.
",
1235,1235,1236,Investigation of the B- and T-cell Repertoire and Immune Response in Patients With Acute and Resolved COVID-19 Infection,Recruiting,No Results Available,COVID-19,,"National Institutes of Health Clinical Center, Bethesda, Maryland, United States",https://ClinicalTrials.gov/show/NCT04362865,"
INCLUSION CRITERIA:
",,"- Patients with a confirmed or suspected diagnosis of COVID-19 infection, current or resolved; or,",
254,254,255,Phase I Study of a Vaccine for Severe Acute Respiratory Syndrome (SARS),Completed,No Results Available,Healthy,Procedure: Blood Test|Procedure: Urine Test|Procedure: Physical Exam|Drug: Vaccine|Drug: VRC-SRSDNA015-00-VP,"National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States",https://ClinicalTrials.gov/show/NCT00099463,"
INCLUSION CRITERIA:
",,18 to 50 years old.,
1295,1295,1296,Poly-ICLC to Prevent Respiratory Viral Infections A Safety Study,Completed,No Results Available,Influenza|Severe Acute Respiratory Distress Syndrome|Smallpox|Ebola|Unknown Respiratory Viruses,Drug: Poly-ICLC,"National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States",https://ClinicalTrials.gov/show/NCT00646152,"
INCLUSION CRITERIA:
",,"For 2 months prior to study drug administration, and through the last day of follow-up (Day 28), subjects must agree to:","Not take any topical nasal medications (prescription or over the counter).
Not receive live attenuated influenza vaccine (Flumist) or any other live attenuated intranasal vaccine (licensed or research).
Not receive any other investigational medications or vaccines."
1280,1280,1281,Cardiopulmonary Inflammation and Multi-System Imaging During the Clinical Course of COVID-19 Infection in Asymptomatic and Symptomatic Persons,Enrolling by invitation,No Results Available,Acute and Long Term Effects of COVID-19:on Systemic Inflammation|Acute and Long Term Effects of COVID-19 on Lung Function|Acute and Long Term Effects of COVID-19 on Mrain Function|Acute and Long Term Effects of COVID-19 on Cardiac Function|Acute and Long Term Effects of COVID-19 on Kidney Function,,"National Institutes of Health Clinical Center, Bethesda, Maryland, United States",https://ClinicalTrials.gov/show/NCT04401449,"
INCLUSION CRITERIA:
",,Subjects within 1-28 days of documented COVID-19 infection for acute care:,"Stated willingness to comply with all study procedures and availability for the duration of the study

Male or female, aged 18 to 80 years

Only a minority of children and adolescents have been described as developing serious illness with COVID-19 infection. As such, this is not an age group at significant risk from complications due to this infection. Adults older than 80 years of age represent a group with the greatest risk of mortality from COVID-19 infection. The presence of significant co-morbidities requiring care that cannot be


Only a minority of children and adolescents have been described as developing serious illness with COVID-19 infection. As such, this is not an age group at significant risk from complications due to this infection. Adults older than 80 years of age represent a group with the greatest risk of mortality from COVID-19 infection. The presence of significant co-morbidities requiring care that cannot be"
778,778,779,A Study of Quintuple Therapy to Treat COVID-19 Infection,Not yet recruiting,No Results Available,COVID-19|Corona Virus Infection|Coronavirus-19|Sars-CoV2,Drug: Hydroxychloroquine|Drug: Azithromycin|Dietary Supplement: Vitamin C|Dietary Supplement: Vitamin D|Dietary Supplement: Zinc,"ProgenaBiome, Ventura, California, United States",https://ClinicalTrials.gov/show/NCT04334512,"
Informed consent provided electronically via the EDC, demonstrating that the subject understands the procedures required for the study and the purpose of the study
Male or female subjects 18 years of age and up
Subjects must agree to practice at least two highly effective methods of birth control for the duration of the study. This includes condoms with spermicide, oral birth control pills, contraceptive implants, intra-uterine devices, or diaphragms. At least one of these must be a barrier method. Subjects not of reproductive potential will be exempt (e.g. post-menopausal, surgically sterilized)
Diagnosis of COVID-19 by RT-PCR
",,"
Refusal to provide informed consent
Diarrhea prior to infection
Any comorbidities which, in the opinion of the investigator, constitute health risk for the subject

Any contraindications for treatment with hydroxychloroquine

Hypoglycemia
Known G6PD deficiency
Porphyria
Anemia
Neutropenia
Alcoholism
Myasthenia gravis
Skeletal muscle disorders
Maculopathy
Changes in visual field
Liver disease
Psoriasis


Anemia from pyruvate kinase and G6PD deficiencies
Abnormal EKG with QT prolongation acquired or from birth
Allergies to 4-Aminoquinolines
History of jaundice or high fevers prior to developing COVID-19
Treatment with any of the medications listed in Appendix II
Treatment with any other drug not listed that affects the QT interval
Treatment with any anti-epileptic drug, whether prescribed for seizures or otherwise.
Pregnant or breastfeeding women
",
177,177,178,The Vietnam Chloroquine Treatment on COVID-19,Recruiting,No Results Available,SARS-CoV-2 Infection|COVID-19,Drug: Chloroquine phosphate,"National Hospital for Tropical Diseases, Hanoi, Vietnam|Can Gio COVID Hospital, Ho Chi Minh City, Vietnam|Cho Ray Hospital, Ho Chi Minh City, Vietnam|Cu Chi COVID Hospital, Ho Chi Minh City, Vietnam|Hospital for Tropical Diseases, Ho Chi Minh City, Vietnam",https://ClinicalTrials.gov/show/NCT04328493,"
Laboratory-confirmed SARS-CoV-2 infection as determined by PCR, or other commercial or public health assay in any specimen < 48 hours prior to randomization, and requiring hospital admission in the opinion of the attending physician.
Provides written informed consent prior to initiation of any study procedures (or legally authorized representative).
Understands and agrees to comply with planned study procedures.
Agrees to the collection of OP swabs and venous blood per protocol.
Male or female adult ≥18 years of age at time of enrollment.
",,,
292,292,293,COlchicine in Moderate-severe Hospitalized Patients Before ARDS to Treat COVID-19,Recruiting,No Results Available,Coronavirus Infection,Drug: Colchicine|Drug: Usual Care,"Maimonides Medical Center, Brooklyn, New York, United States",https://ClinicalTrials.gov/show/NCT04363437,"
Males and females >=18 years of age
Willing and able to provide written informed consent prior to performing study procedures
Currently hospitalized and requiring medical care for COVID-19
Significant COVID-19 symptom, or judged by the treating provider to be at high risk of progression to severe COVID-19 infection

Significant COVID-19 symptoms are defined by one or more of the following:

Dyspnea
Respiratory frequency ≥ 30/min
Blood oxygen saturation ≤ 93%


AND one or more of the following: (positive PCR test or positive antibodies) or (CT/Chest X-ray consistent with COVID19 infection) or (anosmia).
",,"
Requirement of oxygen supplementation >8L nasal cannula
Pregnancy
Known hypersensitivity to colchicine
Patient currently in shock or with hemodynamic instability requiring pressors
History of cirrhosis
Alanine Aminotransferase (ALT) or aspartate aminotransferase (AST) > 5X upper limit of normal (ULN)
Patients with severe renal disease, CrCl <30ml/min
Patients requiring invasive mechanical ventilation at screening or Clinical estimation that the patient will require mechanical respiratory support within 24 hours
Patient is currently taking colchicine for other indications (gout or Familial Mediterranean Fever)
Patient received Remdesivir, Sarilumab, Tociluzimab, Lopinavir/Ritonavir or other immunomodulator given for COVID-19 treatment (Note: Convalescent plasma infusion is not an exclusion)
Patient is on (and cannot discontinue) a strong CYP3A4 inhibitor (eg clarithromycin, indinavir, itraconazole, ketoconazole, nefazodone, nelfinavir, ritonavir, saquinavir, telithromycin, atazanavir), a moderate CYP3A4 inhbitor (eg diltiazem, verapamil, fluconazole, amprenavir, aprepitant, fosamprenavir) or a P-gp Inhibitor (eg cyclosporine, ranolazine)
Patient is undergoing chemotherapy for cancer
Patient is considered by the investigator, for any reason, to be unsuitable candidate for the study
",
79,79,80,Study of Immune Response During SARS-CoV-2 Infection - (COVID-19),Not yet recruiting,No Results Available,"New Coronavirus Disease (COVID-19), Infection With SARS-CoV-2",Other: blood sampling|Other: additional blood tubes,"Antibes Hospital, Antibes, France|Cannes Hospital, Cannes, France|Nice Hospital, Nice, France",https://ClinicalTrials.gov/show/NCT04355351,1/ Medical personnel exposed to SARS-CoV-2 infection,,"
Every willing member of medical personnel who is in charge of care, treatment or transfer of patients with COVID-19, in the hospitals of Nice, Cannes and Antibes
The absence of infection with SARS-CoV-2 at enrolment
Age > 18 years
Having signed an informed consent
Valid health insurance
",
313,313,314,Diagnostics of COVID-19/DARTS (Development and Assessment of Rapid Testing for SARS-CoV-2 Outbreak),Not yet recruiting,No Results Available,COVID-19,,"St. Georges Hospital Foundation Trust, London, United Kingdom",https://ClinicalTrials.gov/show/NCT04351646,==INCLUSION CRITERIA =========,,"
Aged 18 years of age or over
Negative SARS-CoV-2 result from specimen received at SWLP laboratory in SGHFT
",
1281,1281,1282,Investigating the Role of Vitamin D in the Morbidity of COVID-19 Patients,Not yet recruiting,No Results Available,COVID-19|Vitamin D Deficiency,,"Tameside Hospital NHS Foundation Trust, Ashton-under-Lyne, Greater Manchester, United Kingdom",https://ClinicalTrials.gov/show/NCT04386044,ARM 1 - hospital in-patients,,"
In-patient admitted to Tameside General Hospital.
Clinical diagnosis of COVID-19 - not necessary for SARS-CoV-2 swab to be positive.
Patients on vitamin D treatment to be included, but this will be adjusted for in analysis.
",
1069,1069,1070,Outcomes of Elective Cancer Surgery During the COVID-19 Pandemic Crisis,Recruiting,No Results Available,COVID-19|Coronavirus|Cancer|Surgery,Procedure: Elective Cancer Surgery,"Hospital del Henares, Madrid, Spain",https://ClinicalTrials.gov/show/NCT04384926,Centre Inclusion Criteria:,,Inclusion Criteria (patient):,"Adults (age ≥18 years) with a confirmed diagnosis of an included cancer type
Decision made for surgical management with a curative intent"
248,248,249,The Impact of Camostat Mesilate on COVID-19 Infection,Recruiting,No Results Available,Corona Virus Infection,Drug: Camostat Mesilate|Drug: Placebo oral tablet,"Department of Infectious Diseases, Aalborg, Denmark|Department for Infectious Diseases, Aarhus University Hospital, Aarhus N, Denmark|Herning Regional Hospital, Herning, Denmark|Northzealands hospital - Hillerød, Hillerød, Denmark|Horsens Regional Hospital, Horsens, Denmark|Bispebjerg hospital, København, Denmark|Dept. of Infectious Diseases, Odense University Hospital, Odense, Denmark|Randers Regional Hospital, Randers, Denmark|Silkeborg Hospital, Silkeborg, Denmark",https://ClinicalTrials.gov/show/NCT04321096,Cohort 1),"Documented COVID-19 infection as evidenced by positive PCR (or comparable clinical assay) for SARS-CoV-2
Less than 48 hours since time of hospital admission OR if hospital-acquired COVID-19 is suspected, less than 48 hrs since onset of symptoms
Adolescents and adults age >=18 years
Subject or legally authorized representative able to give informed consent
Admitted to hospital",Cohort 2),"Documented COVID-19 infection as evidenced by positive PCR (or comparable clinical assay) for SARS-CoV-2
One or more of the following symptoms of COVID-19 infection: fever, cough, expectoration, shortness of breath, myalgia, fatigue, or head ache
No more than 5 days since the beginning of symptom onset
Adolescents and adults age >=18 years
Subject (or legally authorized representative, for Cohort 1 only) able to give informed consent
Do not require immediate hospitalization (newly diagnosed COVID-19 patients who are discharged within 24 hrs of hospital admission are eligible for enrollment)
Must be willing to fill out a daily symptom diary
Must be available for a daily phone call
Must be willing to take their own temperature at least once a day"
696,696,697,Interferon Lambda for Immediate Antiviral Therapy at Diagnosis in COVID-19,Recruiting,No Results Available,Sars-CoV2|Covid-19,Drug: Peginterferon Lambda-1A|Other: placebo,"Toronto General Hospital, Toronto, Ontario, Canada",https://ClinicalTrials.gov/show/NCT04354259,Cohort A - Ambulatory,,"
Adult patients between the ages of 18 and 70 years.
Confirmed COVID-19 infection by PCR within 5 days of symptom onset (fever, respiratory symptoms, sore throat).
Discharged to home isolation.
Willing and able to sign informed consent.
Willing and able to follow-up by daily phone or videoconference.
Female patients of childbearing potential and male patients with partners of childbearing potential must agree to use adequate methods of contraception during the study and through 90 days after the last dose of study medication. Female patients of childbearing potential are all those except patients who are surgically sterile, who have medically documented ovarian failure, or who are at least 1 year postmenopausal.
",
86,86,87,Vienna Versus SARS-CoV-2 Virus Study,Recruiting,No Results Available,SARS-CoV-2|COVID-19,Diagnostic Test: Laboratory Analyses,"Medical University of Vienna, Vienna, Austria",https://ClinicalTrials.gov/show/NCT04407429,Cohort A:,,"
Physicians
Nursing staff
Midwives
Medical-technical assistants (including medical, therapeutic and diagnostic healthcare staff, and medical and nursing assistants)
Administrative personnel with patient contact
",
