,Inclusion Criteria,Exclusion Criteria
13,"Adult over 18 years old
Patients are scheduled for surgery with lung cancer diagnosis.
ECOG status score 0 to 2
Individual who can read and understand Korean
Participant is willing and able to give informed consent for participation in the study","Patient who was diagnosed with lung cancer in the past.
Individuals who are judged inappropriate for the study"
14,"Lung cancer group
1) Pathologically proven lung cancer
2) Clinically suspected lung cancer on chest CT scan
Benign pulmonary disease group
1) Chronic obstructive pulmonary disease, interstitial lung disease, pneumonia, bronchiectasis, non-tuberculous mycobacterial lung disease, pulmonary vascular disease","Patients with previous history of lung cancer
Patients who have been diagnosed with other malignancy within 5 years
Unstable vital status
Active pulmonary tuberculosis
Infection with hepatitis B virus (HBV), hepatitis C virus (HCV), or human immunodeficiency virus (HIV)"
15,"advanced non-small cell lung cancer (stage IIIB, IV)
at least one measurable lesion
performance status (ECOG) 0-2
1st-line platinum chemotherapy and no progression","mixed small cell and non-small cell
uncontrolled brain metastasis
previous malignancy within 5 years (except basal cell carcinoma of skin, carcinoma in situ of uterine cervix)
pregnant or breast feeding
pemetrexed chemotherapy"
16,"In order to be eligible for participation in this trial, the subject must:
Be willing and able to provide written informed consent for the trial
Be 18 years of age
Be within 6 weeks after complete resection after neoadjuvant CCRT
Have a performance status of 0 or 1 on the ECOG Performance Scale.
Patients who completed neoadjuvant CCRT regimen includes 5 cycles of weekly Paclitaxel (50 mg/m2 + 5DW200 MIV over 1hr) plus Cisplatin (25 mg/m2 + N/S 150 mL MIV over 1hr) concurrent with radiotherapy (44 Gy/22fx daily fraction).
Be willing to provide tissue from a obtained before neoadjuvant CCRT and surgical specimen (at least 10 slides from each surgically resected primary tumors and surgically resected metastatic lymph nodes)
Demonstrate adequate organ function as defined in Table 1, all screening labs should be performed within 14 days of treatment initiation.
Female subject of childbearing potential should have a negative urine or serum pregnancy within 72 hours prior to receiving the first dose of study medication. If the urine test is positive or cannot be confirmed as negative, a serum pregnancy test will be required.
Female subjects of childbearing potential (Section 2) must be willing to use an adequate method of contraception as outlined in Section 2 - Contraception, for the course of the study through 120 days after the last dose of study medication.
Note: Abstinence is acceptable if this is the usual lifestyle and preferred contraception for the subject.
1Male subjects of childbearing potential (Section 1) must agree to use an adequate method of contraception as outlined in Section 1- Contraception, starting with the first dose of study therapy through 120 days after the last dose of study therapy.","The subject must be excluded from participating in the trial if the subject:
Is currently participating and receiving study therapy or has participated in a study of an investigational agent and received study therapy or used an investigational device within 4 weeks of the first dose of treatment.
Participation in another clinical study with PD-1 or PD-L1 inhibitors at any time
Any previous treatment with a PD-1, PD-L1 inhibitor or any anti-cancer therapy after complete resection of lung cancer
Current or prior use of immunosuppressive medication within 28 days before the first dose of pembrolizumab, with the exceptions of intranasal and inhaled corticosteroids or systemic corticosteroids at physiological doses, which are not to exceed 10 mg/day of prednisone, or an equivalent corticosteroid
Mean QT interval corrected for heart rate (QTc) ≥470 ms using Bazett's correction
Has a known history of active TB (Bacillus Tuberculosis)
Active or prior documented inflammatory bowel disease (Crohn's disease or ulcerative colitis)
History of allogenic organ transplant
Hypersensitivity to pembrolizumab or any of its excipients.
1Prior history of malignancy within 2 years from study entry except for adequately treated basal cell or squamous cell skin cancer or in situ cervical cancer, or early gastric cancer. The incidentally detected, non-metastatic well differentiated thyroid cancer can be enrolled irrespective of the treatment, because the prognosis of this type of cancer is known much better than the study disease, even it is untreated. For the debatable double primary cancer, the enrolment can be discussed with the principal investigator in a manner of case by case, and if it is not expected to affect the study outcome, the subjects can be enrolled.
1Has active autoimmune disease that has required systemic treatment in the past 2 years (i.e. with use of disease modifying agents, corticosteroids or immunosuppressive drugs). Replacement therapy (eg., thyroxine, insulin, or physiologic corticosteroid replacement therapy for adrenal or pituitary insufficiency, etc.) is not considered a form of systemic treatment.
1Has known history of, or any evidence of active, non-infectious pneumonitis.
1Evidence of interstitial lung disease.
1Has an active infection requiring systemic therapy.
1Has a history or current evidence of any condition, therapy, or laboratory abnormality that might confound the results of the trial, interfere with the subject's participation for the full duration of the trial, or is not in the best interest of the subject to participate, in the opinion of the treating investigator.
1Has known psychiatric or substance abuse disorders that would interfere with cooperation with the requirements of the trial.
1Is pregnant or breastfeeding, or expecting to conceive or father children within the projected duration of the trial, starting with the pre-screening or screening visit through 120 days after the last dose of trial treatment.
1Has a known history of Human Immunodeficiency Virus (HIV) (HIV 1/2 antibodies).
1Has known active Hepatitis B (e.g., HBsAg reactive) or Hepatitis C (e.g., HCV RNA [qualitative] is detected).
2Has received a live vaccine within 30 days of planned start of study therapy. Note: Seasonal influenza vaccines for injection are generally inactivated flu vaccines and are allowed; however intranasal influenza vaccines (e.g., Flu-Mist®) are live attenuated vaccines, and are not allowed"
17,lung cancer patients before surgery,"Eastern Cooperative Oncology Group Performance Status <1
Neoadjuvant therapy
Multiple cancer
Recurrent lung cancer."
18,"Histologic or cytologic confirmed SCLC
Clinically diagnosed ED-SCLC according to sixth Edition of the AJCC cancer staging manual
Progression during or after prior first line chemotherapy.
Resolution of all acute toxic effects of prior therapy or surgical procedure to grade ≤ 1 (except alopecia)
Prior radiation therapy excluded lung is allowed.
No other forms of cancer therapy, such as chemotherapy, radiation, immunotherapy for at least 3 weeks before the enrollment in study.
Performance status of 0, 1, 2 on the ECOG criteria.
Tumor work-up: within 4weeks prior 1st day of treatment: chest X-ray; CT of chest, liver, and adrenal glands; bone scan; brain MRI
At least one uni-dimensionally measurable lesion meeting Response Evaluation Criteria in Solid Tumors.
1Estimated life expectancy of at least 12 weeks.
1Patient compliance that allows adequate follow-up.
1Adequate organ function for chemotherapy
1Adequate cardiac function: normal EF by Echocardiography
1No ischemic heart disease or cardiac dysrhythmia.
1Normal QTc interval
1Normal thyroid function.
1Informed consent from patient or patient's relative.
1Males or females at least 18 years of age.
1If female: childbearing potential either terminated by surgery, radiation, or menopause, or attenuated by use of an approved contraceptive method (intrauterine device [IUD], birth control pills, or barrier device) during and for 3 months after trial. If male, use of an approved contraceptive method during the study and 3 months afterwards. Females with childbearing potential must have a urine negative HCG test within 7 days prior to the study enrollment.","Diagnosis of any second malignancy within the past 3 years, except basal cell carcinoma, squamous cell skin cancer, or in situ carcinoma that has been adequately treated with no evidence or recurrent disease for 12 months
NCI CTCAE grade ≥ 2 neuropathy from any cause
Ongoing treatment with therapeutic doses of coumarin derivatives, such as warfarin, (low dose Coumadin® up to 2 mg PO daily for deep vein thrombosis prophylaxis is allowed)
Uncontrolled brain metastases, spinal cord compression, carcinomatous meningitis, or leptomeningeal disease. Patients should have completed surgery or radiation therapy for existing brain metastases, should not have documented increase in size over the previous 3 months and should be asymptomatic off steroids
Any of the following within the 12 months prior to starting study treatment: myocardial infarction, sever/unstable angina, coronary/peripheral artery bypass graft, congestive heart failure, cerebrovascular accident including transient ischemic attack, or pulmonary embolus
NCI CTCAE Grade 3 hemorrhage < 4 weeks of starting study treatment
Hypertension (>150/100 mg Hg) that cannot be controlled with standard antihypertensive agents
Ongoing cardiac dysrhythmias of grade ≥ 2, atrial fibrillation of any grade, or QTc interval > 450 msec for males or > 470 msec for female
Known human immunodeficiency virus (HIV) seropositivity
1Pregnancy or breastfeeding. All female patients with reproductive potential must have a negative pregnancy test (serum or urine) within 7 days prior to enrolment
1Other severe acute or chronic medical or psychiatric condition, or laboratory abnormality that may increase the risk associated with study participation or study drug administration, or may interfere with the interpretation of study results, and in the judgment of the investigator would make the patient inappropriate for entry into this study"
19,"Histologic or cytologic diagnosis of NSCLC, Stage IV or selected stage IIIB (with positive pleural effusion or separate tumor nodules in the same lobe) according to the American Joint Committee on Cancer (AJCC).
No prior chemotherapy.
Prior radiation therapy is allowed as long as the irradiated area is not the only source of measurable disease.
No other forms of cancer therapy, such as radiation, immunotherapy for at least 4 weeks before the enrollment in study.
Performance status of 0, 1, 2 on the ECOG criteria.
At least one unidimensional measurable lesion meeting Response Evaluation Criteria in Solid Tumors (RECIST. 2000).
Estimated life expectancy of at least 12 weeks.
Patient compliance that allow adequate follow-up.
Adequate organ function including the following:Adequate hematologic function: WBC count ≥ 3,500/uL, absolute neutrophil count (ANC) ≥ 1,500/uL, and platelet count ≥ 100,000/uLAdequate hepatic function: bilirubin ≤ 5 x UNL, ALT or AST ≤ 5 x UNL.Adequate renal function: creatinine ≤ 5mg/dL.
1Informed consent from patient
1Males or females at least 18 years old.
1If female: childbearing potential either terminated by surgery, radiation, or menopause, or attenuated by use of an approved contraceptive method (intrauterine device [IUD], birth control pills, or barrier device) during and for 3 months after trial. If male, use of an approved contraceptive method during the study and 3 months afterwards. Females with childbearing potential must have a urine negative hCG test within 7 days prior to the study registration.","MI within preceding 6 months or symptomatic heart disease, including unstable angina, congestive heart failure or uncontrolled arrhythmia
Serious concomitant infection including post obstructive pneumonia
Second primary malignancy (except in situ carcinoma of the cervix or adequately treated basal cell carcinoma of the skin or prior malignancy treated more than 5 years ago without recurrence)
Pregnant or nursing women
Psychiatric disorder that would preclude compliance.
Major surgery other than biopsy within the past two weeks."
20,"Provision of informed consent prior to any study specific procedures, sampling, and analyses
Pathologically confirmed non-small cell lung cancer
Male or female, aged at least 20 years
Matches one of two criteria :
1) Cohort A: Patients who are diagnosed with metastatic/recurrent non-small cell lung cancer and planned to receive first line chemotherapy
2) Cohort B: Patients with recurrent/metastatic non-small cell lung cancer who have been receiving molecular targeted therapy, including immune checkpoint inhibitor, and have tumor shrinkage with the agent.","Any concurrent and/or other active malignancy that has required treatment within 3 years
Patients with mixed small cell histology
Life expectancy less than 3 months
Insufficient tissue for NGS test"
21,"Patients with histologically confirmed non-small cell lung cancer stage 4 (by AJCC 7th)
Age, 20 years of age or older
ECOG performance status, 0-2
Life expectancy ≥3 months
Patients should have at least one measurable lesion according to RECIST Criteria v1
Failure after primary systemic treatment with a regimen including platinum-containing agent (primary systemic treatment may be adjuvant chemotherapy or chemo-radiotherapy, given within 12 months)
Adequate bone marrow function (Hb ≥9 g/dL; ANC ≥1,500/uL; and platelet count ≥75,000/uL)
Adequate renal function (serum creatinine <1 x ULN or CLcr ≥45 mL/min by Cockroft and Gault formula
Adequate liver function (total bilirubin <5 x ULN; AST and ALT <3 x ULN; and ALP <3 x ULN, unless there is bone metastases without evidence of liver disease)
1Patients should have a suitable HLA-haploidentical family member who is willing to donate hematopoietic stem cells
1Patients should sign informed consent voluntarily","Patients who received anti-cancer chemotherapeutic or biological agents within 3 weeks. Patients who received anti-cancer treatment and did not recover from toxicities to grades 0-1 by NCI CTC AE ver 0 are not eligible as well.
Patients with contraindication for any medication planned to be administered in the study
Patients with significant fluid accumulation in third space (for example, pleural or pericardial effusion) that can not be controlled by drainage
Active infectious process
Inability to discontinue aspirin over 3 g daily or other NSAIDs. Patients cannot take aspirin or NSAIDs within 5 days of pemetrexed administration
Major surgery within 4 weeks of study participation
Palliative radiation therapy within 1 week of study participation
Acute myocardial infarction within 6 months of study participation. History of uncontrolled arrhythmia, symptomatic angina, or symptomatic heart failure
Past or current history of CNS metastasis (with exception of those patients who completed treatment of CNS metastasis and not received steroid treatment or whole brain radiotherapy within 2 weeks of screening visit or not received gamma knife treatment within 1 week of screening visit)
1History of malignancy (other than skin basal cell carcinoma, carcinoma in situ of uterine cervix, or thyroid cancer) within 5 years
1Pregnant or lactating women. Child-bearing women who are not willing to avoid pregnancy by contraceptives
1Man not agreeing to contraceptive measures such as condom or abstinence (It is recommended that contraceptive measures be used until 6 months after pemetrexed treatment)
1Other serious illness or medical condition"
22,"metastatic, histologically confirmed NSCLC, head & Neck Cancer, Esophageal cancer",
23,"Histologically confirmed or strongly suspected non-small cell lung cancer (NSCLC)
Potentially operable","M1 disease
Inoperable T4 disease
Mediastinal infiltration or extranodal invasion of the mediastinal lymph node visible on chest CT
Confirmed supraclavicular lymph node metastasis
Pancoast tumours
T1 ground glass opacity nodule (with solid part 1<cm)
Solid T1 (1<cm)N0 M0 by CT & PET/CT
Inoperable patients (after evaluating medical and surgical operability)
Patients who refused surgical treatment
1Contraindications for bronchoscopy
1Drug reaction to lidocaine, midazolam, fentanyl
1Pregnancy"
24,"Patients with histologically or cytologically confirmed small cell lung cancer
Regarding a limited disease, the disease in a patient, who had concurrent chemoradiation therapy before, is relapsed or progressing, the patient should have received the first line platinum-based anticancer therapy. The disease should be progressing/relapsed during or after the previous treatment.
Regarding an extensive disease, the progression/relapse of the disease during or after the first line platinum-based anticancer therapy should be confirmed.
Patient with asymptomatic or treated brain metastasis.
Patients without current concomitant chemotherapy
Patients without current concomitant radiotherapy
Patients who are not receiving chronic treatment with steroids or another immunosuppressive agent.
Patients with at least one measurable lesion according to the Response Evaluation Criteria in Solid Tumors (RECIST).
Patients aged 18 years or older
1ECOG performance status 0-2
1Adequate organ function as evidenced by the following; Absolute neutrophil count > 5 x 109/L; platelets > 100 x 109/L; hemoglobin > 9g/dL; -; total bilirubin ≤5 UNL; AST and/or ALT < 5 UNL; creatinine clearance ≥ 50mL/min.
1Patients who signed and dated the informed consent form prior to specific study procedures.
1Patients who can comply with the scheduled follow-up and toxicity management procedure.'","Patients with history of treatment with mTOR inhibitors
Pregnant with gastrointestinal problem impairing absorption of drugs
Patients who could not use appropriate method of contraception
Pregnant or feeding patients
Other medically ill patients
Severe heart/pulmonary disease
DM patients
Other malignancy except cured skin cancer or uterine cervix carcinoma in situ
High cholesterolemia greater than grade 3
1Patients with symptomatic brain metastasis
1Chronic hepatitis or liver cirrhosis (patients with HBsAg positive, IgM anti-HBc positive or HCV Ab positive)
1Patients receiving immunosuppressant"
25,"Histologically confirmed non-small cell lung cancer with synchronous brain metastases (diagnosis of brain lesion before or within 2 months from diagnosis of the primary site tumor)
1) One to 4 intraparenchymal brain metastases by contrast-enhanced MRI, meeting the following criteria:
a. Well circumscribed tumor(s) with brain edema Grade 0-1
b. Maximum diameter ≤ 0 cm
- No prior complete resection of all known brain metastases or RT ④ No leptomeningeal metastases by MRI or cerebrospinal fluid evaluation
- Patients without any symptoms or signs from brain metastases (RTOG neurologic functions status of 0) ⑥ Age, 18 and over ⑦ ECOG performance status 0-1 ⑧ Written informed consent","severe co-morbid illness and/or active infections ② pregnant or lactating women
1) RTOG neurologic function status of 1~4 ④ Uncontrollable extracranial metastases"
