,Unnamed: 0,Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL,field1,inclusion_creteria,field2,exclusion_creteria
242,242,243,NCT04382625,Hydroxychloroquine in SARS-CoV-2 (COVID-19) Pneumonia Trial,,Not yet recruiting,No Results Available,SARS-CoV-2 Pneumonia|COVID-19,Drug: Hydroxychloroquine,Change from Baseline Oxygenation on Day 1 to Day 5|Change from Baseline Oxygenation at Day 5|Intensive Care length of stay|Required Mechanical Ventilation|Required Oxygen supplementation|Hospitalization length of Stay|Mortality|Cardiac Arrhythmia - Polymorphic Ventricular Tachycardia|Cardiac Arrhythmia - Ventricular Tachycardia|Cardiac Arrhythmia - Lengthening QTc,Kootenai Health|Washington State University,All,"18 Years and older   (Adult, Older Adult)",Phase 4,120.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,18244,May 2020,"January 1, 2022","June 1, 2022","May 11, 2020",,"May 11, 2020","Kootenai Health, Coeur d'Alene, Idaho, United States",,https://ClinicalTrials.gov/show/NCT04382625,Inclusion Criteria:,"Age > 18 years of age
SARS-CoV-2 positive per FDA approved RT-PCR (reverse transcription-polymerase chain reaction)
Acute hypoxia (O2 sat < 90 % or paO2 < 60 on room air), or above baseline chronic O2 requirement
Inpatient admission",Exclusion Criteria:,"Requires supplemental O2 >10 litres per minute or mechanical ventilation on admission
Pregnancy
AST/ALT > 5 times the upper limit normal
Baseline prolonged QT
Child-Pugh Score B or greater
ESRD(end-stage renal disease) requiring dialysis
Known allergy to medication component,
History of severe G6PD (glucose-6-phosphate dehydrogenase)
Myasthenia gravis
Porphyria
Ongoing treatment for epilepsy
Life expectancy < 6 months,
Patient lacks capacity to provide consent and does not have a surrogate decision maker.
Retinal Disease"
243,243,244,NCT04348942,"A COVID-19 Symptom, Exposure and Immune Response Registry",,Not yet recruiting,No Results Available,COVID-19,,Registry Data,ObvioHealth,All,"18 Years and older   (Adult, Older Adult)",,10000.0,Industry,Observational,Observational Model: Cohort|Time Perspective: Prospective,OBVIO-OBV-001,"April 20, 2020","May 1, 2021","May 1, 2021","April 16, 2020",,"April 24, 2020",,,https://ClinicalTrials.gov/show/NCT04348942,Inclusion Criteria:,"Open to any adult individuals (18 years of age or older) permanently residing in the United States
Have regular access to smartphone and internet sufficient to support registry demands
Willing and able to follow the procedures of the study
Willing and able to provide informed consent",Exclusion Criteria:,"Participants unable to understand the study protocol or provide informed consent
Participants unable or unwilling to perform all requested study tasks"
244,244,245,NCT04359797,COVID-19 Patient Positioning Pragmatic Trial,,Enrolling by invitation,No Results Available,COVID-19,Other: Prone|Other: Usual Care,Modified WHO Ordinal Scale|Mean FIO2,Vanderbilt University Medical Center,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,300.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Supportive Care,200727,"April 27, 2020",April 2021,June 2021,"April 24, 2020",,"April 28, 2020","Vanderbilt University Medical Center, Nashville, Tennessee, United States",,https://ClinicalTrials.gov/show/NCT04359797,Inclusion Criteria:,"This study will enroll all patients admitted to VUMC who test positive for COVID-19 and require supplemental oxygen, but are not yet mechanically ventilated.",Exclusion Criteria:,Patients admitted on mechanical ventilation will be excluded from enrollment.
245,245,246,NCT04363502,Use of the Interleukin-6 Inhibitor Clazakizumab in Patients With Life-threatening COVID-19 Infection,,Recruiting,No Results Available,COVID,Drug: Clazakizumab|Drug: Placebo,Change in C-reactive protein (CRP) level,Johns Hopkins University,All,"18 Years to 100 Years   (Adult, Older Adult)",Phase 2,30.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",IRB00247932,"May 7, 2020",August 2020,August 2020,"April 27, 2020",,"May 19, 2020","Johns Hopkins Hospital, Baltimore, Maryland, United States",,https://ClinicalTrials.gov/show/NCT04363502,Inclusion Criteria:,"1. At least 18 years of age
2. Confirmed COVID-19 disease (by Cobas Severe Acute Respiratory Syndrome (SARS)-CoV-2 real time RT-PCR using nasopharyngeal swab sample, or equivalent test available to be performed by the Johns Hopkins Medical Laboratories Services). Effort will be made to have the confirmatory test result <72 hours prior to enrollment however given overall clinical demand this may not be feasible in all cases.

3. Respiratory failure manifesting as: Acute Respiratory Distress Syndrome (defined by a P/F ratio of <200), OR SpO2 < 90% on 4L (actual or expected given higher O2 requirement) OR increasing O2 requirements over 24 hours, PLUS 2 or more of the following predictors for severe disease:

CRP > 35 mg/L
Ferritin > 500 ng/mL
D-dimer > 1 mcg/L
Neutrophil-Lymphocyte Ratio > 4
LDH > 200 U/L
Increase in troponin in patient w/out known cardiac disease


CRP > 35 mg/L
Ferritin > 500 ng/mL
D-dimer > 1 mcg/L
Neutrophil-Lymphocyte Ratio > 4
LDH > 200 U/L
Increase in troponin in patient w/out known cardiac disease
4. Has a consent designee willing to provide informed consent on behalf of the patient (this assumes that a mechanically ventilated patients lacks capacity to consent on his/her own behalf. Should it be deemed that the patient has capacity to consent, consent may be obtained from the patient.)

5. Women of childbearing potential must be willing and able to use at least one highly effective contraceptive method for a period of 5 months following the study drug administration. In the context of this study, an effective method is defined as those which result in low failure rate (i.e. less than 1% per year) when used consistently and correctly such as:

combined (estrogen and progestogen containing) hormonal contraception combined (estrogen and progestogen containing) hormonal contraception (oral, intravaginal, or transdermal)
progestogen-only hormonal contraception associated with inhibition of ovulation (oral, injectable, implantable)
intrauterine device (IUD)
intrauterine hormone-releasing system (IUS)
vasectomized partner
bilateral tubal occlusion
true abstinence. when this is in line with the preferred and usual lifestyle of the subject. Periodic abstinence, such as calendar, ovulation, symptothermal, postovulation methods, and withdrawal are not acceptable methods of contraception.


combined (estrogen and progestogen containing) hormonal contraception combined (estrogen and progestogen containing) hormonal contraception (oral, intravaginal, or transdermal)
progestogen-only hormonal contraception associated with inhibition of ovulation (oral, injectable, implantable)
intrauterine device (IUD)
intrauterine hormone-releasing system (IUS)
vasectomized partner
bilateral tubal occlusion
true abstinence. when this is in line with the preferred and usual lifestyle of the subject. Periodic abstinence, such as calendar, ovulation, symptothermal, postovulation methods, and withdrawal are not acceptable methods of contraception.
6. Men must be willing to use a double-barrier contraception from enrollment until at 5 months after the last dose of study drug, if not abstinent",Exclusion Criteria:,"1. Evidence of irreversible injury deemed non-survivable even if the pulmonary failure recovers (for example severe anoxic brain injury)
2. Known active inflammatory bowel disease
3. Known active, untreated diverticulitis
4. Known untreated bacteremia
5. Pregnancy. (The protocol will exclude pregnant subjects given the lack of overall data on use of clazakizumab in pregnancy however the study team would consider a protocol revision should more than 3 potential pregnant study subjects be excluded on this basis).
6. Known hypersensitivity to the clazakizumab
7. Use of other IL-6 inhibitor investigational drugs at the time of enrollment"
246,246,247,NCT04343690,COPING With COVID-19( CWC-19),,Not yet recruiting,No Results Available,COVID-19,Behavioral: Crisis management coaching,Change in stress level as measured by survey|Change wellness as measured by survey,Duke University,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,100.0,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other,Pro00105319,"April 13, 2020","June 30, 2020","June 30, 2020","April 13, 2020",,"April 13, 2020","Duke University, Durham, North Carolina, United States",,https://ClinicalTrials.gov/show/NCT04343690,Inclusion Criteria:,"Any faculty, staff, or trainee from Duke pulmonary and critical care that consents to being in the study",Exclusion Criteria:,
247,247,248,NCT04389567,Famotidine Outpatient COVID-19 Treatment Study,,"Active, not recruiting",No Results Available,COVID-19,Drug: Famotidine,Symptomatic improvement|Peripheral blood oxygen saturation,Northwell Health|Cold Spring Harbor Laboratory,All,"18 Years and older   (Adult, Older Adult)",,10.0,Other,Observational,Observational Model: Case-Only|Time Perspective: Retrospective,1605914-1,"May 12, 2020","May 20, 2020","May 20, 2020","May 15, 2020",,"May 15, 2020","Cold Spring Harbor Laboratory, Cold Spring Harbor, New York, United States",,https://ClinicalTrials.gov/show/NCT04389567,Inclusion Criteria:,,Exclusion Criteria:,
249,249,250,NCT04387214,COVID-19 Pandemic and Academic Performance of Veterinary Students,,Enrolling by invitation,No Results Available,COVID-19,Other: survey,Measure the effect of COVID-19 pandemic on the academic performance of veterinary medical students|Measure the average studying time|Evaluate on-line education during COVID-19 pandemic lockdown|Evaluate on-line education in practical lessons during COVID-19 pandemic lockdown,South Valley University,All,"17 Years to 60 Years   (Child, Adult)",,400.0,Other,Observational,Observational Model: Other|Time Perspective: Cross-Sectional,1-2020,"April 13, 2020","May 13, 2020","May 15, 2020","May 13, 2020",,"May 15, 2020","South Valley University, Qinā, Egypt",,https://ClinicalTrials.gov/show/NCT04387214,Inclusion Criteria:,Veterinary students and researchers,Exclusion Criteria:,
250,250,251,NCT04361214,Leflunomide in Mild COVID-19 Patients,,Recruiting,No Results Available,COVID-19,Drug: Leflunomide,Tolerability of high dose leflunomide as measured by leflunomide dose modifications|Tolerability of high dose leflunomide as measured by discontinuation of leflunomide|Tolerability of high dose leflunomide as measured by Adverse Events|Rate of hospitalization due to COVID-19 as measured by number of patients hospitalized|Time to defervescence as measured in days while on treatment protocol|Resolution of other COVID-19 symptoms measured in days while on treatment protocol,University of Chicago,All,"18 Years and older   (Adult, Older Adult)",Phase 1,20.0,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,IRB20-0622,"May 5, 2020",July 2020,July 2020,"April 24, 2020",,"May 20, 2020","University of Chicago, Chicago, Illinois, United States",,https://ClinicalTrials.gov/show/NCT04361214,Inclusion Criteria:,"Being tested positive for SARS-Cov-2 in outpatient setting in drive-thru, ED, or ambulatory clinics at the University of Chicago within 72 hours of enrollment.
Age >18
Mild COVID-19, defined as the presence of any symptom consistent with an upper respiratory tract infection, including dry cough, sore throat, nasal congestion, fatigue, myalgia, headaches
Subjects must meet all the above-mentioned criteria, in addition to at least one of the following criteria:
Age > 55
Pre-existing pulmonary disease: airway diseases (asthma, chronic obstructive pulmonary disease, bronchiectasis, cystic fibrosis), history of active or treated lung cancer, history of pneumectomy, interstitial lung diseases, pulmonary hypertension, sleep apnea.
Diabetes: uncontrolled or controlled diabetes
Hypertension: uncontrolled or controlled hypertension
Chronic kidney disease stage 1-3
History of cardiovascular disease: history of coronary artery disease (angina, unstable angina or myocardium infarction, history of percutaneous coronary intervention, history of coronary artery bypass graft) cerebrovascular disease (embolic and hemorrhagic strokes, transitory ischemic stroke), valvular heart disease (surgically corrected or not), peripheral artery disease, heart failure.
History of immunosuppression: solid organ or bone marrow transplant, use of immunosuppressive antimetabolic and biologic agents, intrinsic immunodeficiencies, HIV infection.
Active cancer diagnosis, on palliative treatment or requiring current therapy with antimetabolic agents, immunotherapy or radiotherapy.
At least one fever every 24 hours for > 72h",Exclusion Criteria:,"Participation in any other clinical trial of an experimental agent treatment for COVID-19
Current hospitalization
Known hypersensitivity to leflunomide
Currently taking methotrexate
Currently taking terliflunomide
Known chronic kidney disease, stage 4-5, or receiving dialysis
History of liver disease
History of interstitial lung disease
Pregnancy and lactation - pregnancy test required for females
Inability to monitor body temperature (oral, axillary, tympanic or frontal) at least twice a day from study enrollment day (Day 1) to the end of the study (Day 14).
Inability to provide informed consent to the study."
251,251,252,NCT04308317,Tetrandrine Tablets Used in the Treatment of COVID-19,TT-NPC,Enrolling by invitation,No Results Available,"Corona Virus Disease 2019,COVID-19",Drug: Tetrandrine,Survival rate|body temperature,Henan Provincial People's Hospital,All,"18 Years to 75 Years   (Adult, Older Adult)",Phase 4,60.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,TT-NPC,"March 5, 2020","March 1, 2021","May 1, 2021","March 16, 2020",,"March 16, 2020","Tetrandrine Tablets, Jinhua, Zhejiang, China",,https://ClinicalTrials.gov/show/NCT04308317,Inclusion Criteria:,"Patients with mild and severe cases who have been diagnosed with new coronavirus pneumonia according to the ""Pneumonitis Diagnosis and Treatment -
Plan for New Coronavirus Infection""
Age 18 to 75 years;
Sign the informed consent voluntarily.",Exclusion Criteria:,"With active tuberculosis, idiopathic pulmonary fibrosis, bronchial asthma, bronchiectasis, pulmonary embolism, patients with chronic respiratory failure or other severe respiratory disease;
According to the ""pneumonia diagnosis and treatment program for new coronavirus infection"" (trial version 6), critically ill patients
With severe patients with disease of heart head blood-vessel, malignant arrhythmia, unstable angina, acute myocardial infarction and death, cardiac function level 3 and above, stroke, cerebral hemorrhage, etc.);
With severe liver and kidney diseases (severe liver disease refers to cirrhosis, portal hypertension and varices bleeding, severe kidney disease including dialysis, kidney transplantation);
Pregnant and lactating women;
Severe cognitive and mental disorders;
Clinical investigators who were participating in other interventions within 1 month prior to inclusion"
252,252,253,NCT04371562,Predicting Death and ICU Admission in COVID-19 Patients in ED,,Completed,No Results Available,COVID,,7-day death|7-day ICU,Fondazione Policlinico Universitario Agostino Gemelli IRCCS,All,"18 Years and older   (Adult, Older Adult)",,300.0,Other,Observational,Observational Model: Cohort|Time Perspective: Retrospective,0017055/20,"March 1, 2020","March 31, 2020","April 15, 2020","May 1, 2020",,"May 5, 2020","Marcello Covino, Roma, RM, Italy",,https://ClinicalTrials.gov/show/NCT04371562,Inclusion Criteria:,COVID 19 confirmed patients.,Exclusion Criteria:,"<18 years
Pregnant women
Asymptomatic and normal x-ray findings subjects"
253,253,254,NCT04337762,Beat COVID-19 - Observational Trial,JUPITER,Recruiting,No Results Available,COVID-19,,Health Outcomes,Beat COVID LLC,All,"18 Years to 110 Years   (Adult, Older Adult)",,100000.0,Industry,Observational,Observational Model: Case-Control|Time Perspective: Prospective,20200835,"April 6, 2020",December 2020,July 2021,"April 8, 2020",,"April 9, 2020","Beat COIVD, LLC, Chicago, Illinois, United States",,https://ClinicalTrials.gov/show/NCT04337762,Inclusion Criteria:,"Adults residing in the United States aged 18 years or older proficient in understanding and reading the English language who wish to participate in the fight against COVID-19 by providing self-reported health information.
Ability to complete electronic informed consent process.
Ability to use the internet and check email regularly.
Consent to provide a HIPAA waiver of health information to share protected health information.",Exclusion Criteria:,
254,254,255,NCT04382924,Safety and Efficacy of NP-120 (Ifenprodil) for the Treatment of Confirmed COVID-19 Infected Hospitalized Patients,,Not yet recruiting,No Results Available,COVID,Drug: NP-120 (Ifenprodil),"Patient clinical status (on the WHO 7-point ordinal scale) at day 15 in IP versus SOC control group patients:|Status on an ordinal scale assessed daily while hospitalized and on days 15 and 28 in IP versus control group patients|NEWS assessed days 3, 5, 8 ,11 daily while hospitalized and on days 15 and 29 in IP versus control group patients|Rate of mechanical ventilation in IP versus control group patients|Duration of mechanical ventilation (if applicable) in IP versus control group patients|Duration of supplemental oxygen in IP versus control group patients|Time to return to room pressure (SpO2 > 94%) on room air|Duration in ICU (if applicable) in IP versus control group patients|Rate of Mortality in IP versus control group patients|Duration of hospitalization in IP versus control group patients|Time to discharge in IP versus control group patients|Effect on the rate of change of partial pressure of oxygen (PaO2) and PaO2/FiO2 ratio taken at baseline and measured once daily up to 2 weeks of treatment in IP versus control group patients",Algernon Pharmaceuticals|Novotech (Australia),All,"18 Years and older   (Adult, Older Adult)",Phase 2|Phase 3,462.0,Industry|Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,AGN120-3,July 2020,January 2022,February 2022,"May 11, 2020",,"May 11, 2020",,,https://ClinicalTrials.gov/show/NCT04382924,Inclusion Criteria:,"Male and female subjects aged ≥18 years of age

Confirmed coronavirus infection

Positive real-time fluorescence polymerase chain reaction of the patient's respiratory or blood specimens for COVID-19 nucleic acid
Viral gene sequences in respiratory or blood specimens that are highly homologous to COVID-19
Any other diagnostic test accepted by local regulatory authorities


Positive real-time fluorescence polymerase chain reaction of the patient's respiratory or blood specimens for COVID-19 nucleic acid
Viral gene sequences in respiratory or blood specimens that are highly homologous to COVID-19
Any other diagnostic test accepted by local regulatory authorities
Must be hospitalized and requiring supplemental oxygen, or on non-invasive ventilation or high flow oxygen devices (Score of 4 or 5 on WHO Ordinal Clinical Scale)
Female subjects of childbearing potential who are sexually active with a non-sterilized male partner must use at least 1 highly effective method of contraception from the time of screening and must agree to continue using such precautions for 90 days after the final dose of study drug(s)
Non-sterilized males who are sexually active with a female partner of childbearing potential must use condom plus spermicide from day 1 through 90 days after receipt of the last dose of study drug(s)
Subjects (or reasonable legal designate) must have the capacity to understand, sign and date a written, informed consent form and any required authorization prior to initiation of any study procedures",Exclusion Criteria:,"Patients with vasodilatory shock, orthostatic hypotension, hypotension, or tachycardia at screening/baseline
Patients experiencing cerebral hemorrhage or cerebral infarction at baseline
ALT/AST > 5 times the upper limit of normal
Stage 4 severe chronic kidney disease or requiring dialysis (i.e. eGFR < 30)
Patients on mechanical ventilation or extracorporeal membrane oxygenation (ECMO)
Patients taking droxidopa
Pregnant and lactating women and those planning to get pregnant
Known or suspected allergy to the trial drug or the relevant drugs given in the trial
Presence of other disease that may interfere with testing procedures or in the judgement of the Investigator may interfere with trial participation or may put the patient at risk when participating in this trial
Know inability of patient to comply with the protocol for the duration of the study
Involvement in a clinical research study within 4 weeks prior to screening and/or prior enrollment in the study. Participation in registry studies is permitted.
Patients receiving unapproved/off-label medications for COVID-19 treatment, such as but not limited to: chloroquine/hydroxychloroquine, azithromycin, lopinavir-ritonavir, interferon, remdesivir, tocilizumab, sarilumab, baricitinib, ruxolitinib, GM-CSF, gamifant, mesenchymal stem cells"
255,255,256,NCT04367064,To Study the Clinical Characteristics and Treatment Outcome of COVID-19 Patients Admitted in Hospitals of Max Healthcare (SCOPe Study),SCOPe,Recruiting,No Results Available,COVID,,we will compare the clinical outcome of the COVID 19 patients with their age and gender|we will compare the effect of different treatments given to the COVID 19 patients at Max Hospital,Max Healthcare Insititute Limited,All,"18 Years to 75 Years   (Adult, Older Adult)",,1000.0,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,SCOPe/MHC/Covid-19/2020,"April 25, 2020","June 25, 2020","July 25, 2020","April 29, 2020",,"April 29, 2020","Max Super Speciality hospital, Saket (A unit of Devki Devi Foundation), New Delhi, Delhi, India",,https://ClinicalTrials.gov/show/NCT04367064,Inclusion Criteria:,"Patients of either sex aged ≥18 years
Patients who are Covid-19 positive
All patients with positive Corona virus infection admitted in the hospitals of Max Healthcare will be included in the study.",Exclusion Criteria:,
256,256,257,NCT04389411,The COvid-19 Symptom MOntelukast Trial,COSMO,Not yet recruiting,No Results Available,COVID-19,Drug: Montelukast 10mg,Emergency Room Visits and Hospitalizations|Emergency room visit count|Hospitalization admission count|Time to ER Visit|Time to hospitalization|All-cause mortality|Inpatient Length of stay|Time to ICU admission|Time to intubation|Time to other serious COVID-19 complications,McGill University|Lady Davis Institute,All,"40 Years and older   (Adult, Older Adult)",Phase 2|Phase 3,600.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",443807,July 2020,February 2021,June 2021,"May 15, 2020",,"May 18, 2020",,,https://ClinicalTrials.gov/show/NCT04389411,Inclusion Criteria:,"Confirmed SARS-CoV-2 infection, defined as RT-PCR provincial laboratory confirmation;
Time from a positive test result to date of enrollment <1 week;
Time from patient reported first symptoms date of enrollment <14 days;
Able to complete weekly follow-up assessments and agrees to provide them on a weekly basis;
Agrees to use assigned medication for the 60 days prescribed; and
Informed consent is obtained.",Exclusion Criteria:,"Any hospitalization for COVID-19 symptoms or complications prior to randomization;
Use of montelukast ≤ 30 days to screening;
Any contraindication to montelukast; and
Any condition (including the inability to swallow pills) which, in the opinion of the Principal Investigator, would prevent full participation in and compliance with the trial protocol, or would interfere with the evaluation of trial endpoints."
257,257,258,NCT04399109,Evaluation of a Remote Monitoring Smartphone Application and Care Model of COVID-19 Patients in the Community (ReCOVER),ReCOVER,Recruiting,No Results Available,COVID,Device: TCC-COVID mHealth solution,"Rate of avoidable Emergency Department presentations per diagnosed COVID-19 case|All cause mortality per diagnosed COVID-19 case All-cause mortality rate at 30 days per diagnosed COVID-19 case|Rate of hospital admission per diagnosed COVID case|Rate of MBS claims for un-referred visits to general practitioners and analogous COVID-19 MBS telehealth items per diagnosed COVID case|Average length of stay (LOS) for admitted patients per diagnosed COVID case|Rate of admission to Intensive Care Unit (ICU) for admitted patients per diagnosed COVID case|Time from presentation to admission to ICU for patients admitted to ICU per diagnosed COVID case|Rate of intubation in admitted patients per diagnosed COVID case|Rate of readmission within 30 days of discharge in admitted patients per diagnosed COVID case|All-cause mortality at 90 days per diagnosed COVID case|Rate of avoidable Emergency Department presentations with COVID-19 diagnosis per 100,000 population, during trial period|Rate of hospital admission with COVID-19 diagnosis per 100,000 population, during trial period|Rate of admission to ICU with COVID-19 diagnosis per 100,000 population during trial period|Rate of mortality with COVID-19 cause of death per 100,000 population, during trial period|Qualitative assessment of TCC-COVID app usability via a subjective feedback questionnaire provided to all patients enrolled in the study.|Cost-effectiveness of TCC-COVID by measuring the incremental cost per death averted, per ICU admission averted and per length of stay in ICU|Rate of hospital bed days with COVID-19 diagnosis per 100,000 population, during trial period|Rate of ICU bed days with COVID-19 diagnosis per 100,000 population, during trial period|Qualitative assessment of KIOLA physician portal usability via a subjective feedback questionnaire","Dr Sze-Yuan Ooi|The University of New South Wales|The George Institute|South Eastern Sydney Local Health District|Prince of Wales Hospital, Sydney",All,"18 Years and older   (Adult, Older Adult)",Not Applicable,2000.0,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care,PID00770,"May 20, 2020","May 19, 2021","May 19, 2021","May 25, 2020",,"May 25, 2020","The Sutherland Hospital, Caringbah, New South Wales, Australia|St George Hospital, Kogarah, New South Wales, Australia|Prince of Wales Hospital, Randwick, New South Wales, Australia",,https://ClinicalTrials.gov/show/NCT04399109,Inclusion Criteria:,"Age greater or equal to 18 years
Able to provide informed consent
Proven diagnosis of COVID-19 based on positive virology testing
Patients who are being managed at home OR those who are being discharged from hospital for ongoing home-based care in isolation.

Access to a smartphone or device that is compatible with the TCC-COVID app

Any iPhone or iPad running iOS 9 or above (essentially any iPhone 5 or above)
Any Android phone that is operating Android 7.0 or above


Any iPhone or iPad running iOS 9 or above (essentially any iPhone 5 or above)
Any Android phone that is operating Android 7.0 or above
Speaks adequate English",Exclusion Criteria:,"Patient meets clinical criteria for hospital-based care.

Inability to use the TCC-COVID app and pulse oximeter due to reasons including but not limited to:

Cognitive impairment
Impaired dexterity
Visual impairment
Language barrier


Cognitive impairment
Impaired dexterity
Visual impairment
Language barrier
Patient residing outside the SESLHD catchment area during their period of isolation"
258,258,259,NCT04326920,Sargramostim in Patients With Acute Hypoxic Respiratory Failure Due to COVID-19 (SARPAC),SARPAC,Recruiting,No Results Available,COVID-19,Drug: Sargramostim|Other: Control,"Improvement in oxygenation at a dose of 250 mcg daily during 5 days improves oxygenation in COVID-19 patients with acute hypoxic respiratory failure|Incidence of AE (Adverse Event)|Incidence of SAEs (Serious Adverse Event)|Clinical Status using 6-point ordinal scale|Clinical Status using Clincal sign score|Clinical Status using SOFA score (Sequential Organ Failure Assessment score),|Clinical Status using NEWS2 score (National Early Warning Score)|incidence of severe or life-threatening bacterial, invasive fungal or opportunistic infection|number of patients requiring initiation of mechanical ventilation|Number of deaths due to any cause at 4 weeks|Number of deaths due to any cause at 20 weeks|number of patients developing features of secondary haemophagocytic lymphohistiocytosis|long term Clinical status defined by 6-point ordinal scale|long term Clinical status defined by chest X-ray|long term Clinical status defined lung function","University Hospital, Ghent|Flanders Institute of Biotechnology",All,"18 Years to 80 Years   (Adult, Older Adult)",Phase 4,80.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,SARPAC,"March 24, 2020","October 31, 2020","December 31, 2020","March 30, 2020",,"April 24, 2020","AZ Sint Jan Brugge, Brugge, Belgium|University Hospital Ghent, Gent, Belgium|UZ Brussel, Jette, Belgium|AZ Delta Roeselare, Roeselare, Belgium",,https://ClinicalTrials.gov/show/NCT04326920,Inclusion Criteria:,"Recent (≤2weeks prior to Randomization) confident diagnosis of COVID-19 confirmed by antigen detection and/or PCR (Polymerase Chain Reaction), and/or seroconversion or any other emerging and validated diagnostic test
In some patients, it may be impossible to get a confident laboratory confirmation of COVID-19 diagnosis after 24h of hospital admission because viral load is low and/or problems with diagnostic sensitivity. In those cases, in absence of an alternative diagnosis, and with highly suspect bilateral ground glass opacities on recent (<24h) chest-CT scan (confirmed by a radiologist and pulmonary physician as probable COVID-19), a patient can be enrolled as probable COVID-19 infected. In all cases, this needs confirmation by later seroconversion.

Presence of acute hypoxic respiratory failure defined as (either or both)

saturation below 93% on minimal 2 l/min O2
PaO2/FiO2 below 300


saturation below 93% on minimal 2 l/min O2
PaO2/FiO2 below 300
Admitted to specialized COVID-19 ward
Age 18-80
Male or Female
Willing to provide informed consent",Exclusion Criteria:,"Patients with known history of serious allergic reactions, including anaphylaxis, to human granulocyte-macrophage colony stimulating factor such as sargramostim, yeast-derived products, or any component of the product.
mechanical ventilation before start of study
patients with peripheral white blood cell count above 25.000 per microliter and/or active myeloid malignancy
patients on high dose systemic steroids (> 20 mg methylprednisolone or equivalent)
patients on lithium carbonate therapy
Patients enrolled in another investigational drug study
Pregnant or breastfeeding females (all female subjects regardless of childbearing potential status must have negative pregnancy test at screening)
Patients with serum ferritin >2000 mcg/ml (which will exclude ongoing HLH)"
259,259,260,NCT04369300,Anxiety And Depression During COVID-19 IN INDIA,,Not yet recruiting,No Results Available,COVID-19,Behavioral: Registery Data Collection,Prevalence (magnitude) of anxiety of general adult population during COVID-19|prevalence (magnitude) of depression and anxiety of general adult population during COVID 19,Max Healthcare Insititute Limited,All,"18 Years to 90 Years   (Adult, Older Adult)",,1000.0,Other,Observational,Observational Model: Other|Time Perspective: Cross-Sectional,Covid-19/MHC/PSYCH/20-10,"April 24, 2020","November 24, 2020","February 24, 2021","April 30, 2020",,"April 30, 2020",,,https://ClinicalTrials.gov/show/NCT04369300,Inclusion Criteria:,"Participants of the age of 18 years and above
Participants residing in India
Participants with minimum 10 years of education with basic knowledge of English",Exclusion Criteria:,"Participants under the age of 18 years
Participants residing outside of India
Participants with previous history of any major psychiatric illness, psychiatric hospitalization or currently on any psychiatric medication."
