"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
11,"NCT04359095","Effectiveness and Safety of Medical Treatment for SARS-CoV-2 (COVID-19) in Colombia",,"Not yet recruiting","No Results Available","COVID-19","Drug: Hydroxychloroquine|Drug: Lopinavir / Ritonavir Pill|Drug: Azithromycin|Other: Standard treatment","Mortality|Number of Participants with Treatment Related Severe Adverse Events as Assessed by the NCORP Guidance for Collection of Adverse Events Related to COVID-19 Infection|Time to death|Number of Participants that are transferred to the Intensive Care Unit (ICU)|Number of Participants that need Mechanical Ventilation Support with endotracheal intubation.|Number of participants Cured assessed by Nasopharyngeal swab, oropharyngeal swab, and blood aspiration for COVID19 (RT-PCR) without clinical symptoms and normal chest X ray|Number of Participants with Any Adverse Event Related to Treatment Assessed by the NCORP Guidance for Collection of Adverse Events Related to COVID-19 Infection","Universidad Nacional de Colombia|Pontificia Universidad Javeriana|Clínica Universitaria Colombia|Hospital Universitario San Ignacio|Hospital Universitario Nacional de Colombia|Clínica Reina Sofía|Fundación Cardio Infantil|Hospital Universitario de Neiva","All","18 Years and older   (Adult, Older Adult)","Phase 2|Phase 3","1600","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","76968","May 11, 2020","October 11, 2020","October 31, 2020","April 24, 2020",,"April 24, 2020","Hospital Universitario de Neiva, Neiva, Huila, Colombia|Clínica Reina Sofía, Bogotá, Colombia|Fundacion Cardio Infantil, Bogotá, Colombia|Hospital Universitario San Ignacio, Bogotá, Colombia|Clinica Universitaria Colombia, Bogotá, Colombia|Hospital Universitario Nacional de Colombia, Bogotá, Colombia",,"https://ClinicalTrials.gov/show/NCT04359095"
12,"NCT04354831","A Study Evaluating the Efficacy and Safety of High-Titer Anti-SARS-CoV-2 Plasma in Hospitalized Patients With COVID-19 Infection",,"Recruiting","No Results Available","COVID-19","Biological: anti-SARS-CoV-2 convalescent plasma","Overall Mortality within 60 days|Length of ICU stay during current admission for COVID","Medical College of Wisconsin|Froedtert Hospital","All","18 Years and older   (Adult, Older Adult)","Phase 2","131","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","PRO00037712","May 11, 2020","May 1, 2022","May 1, 2023","April 21, 2020",,"May 13, 2020","Froedtert Hospital, Milwaukee, Wisconsin, United States",,"https://ClinicalTrials.gov/show/NCT04354831"
13,"NCT04351802","CORonavirus (COVID-19) Diagnostic Lung UltraSound Study","COR-DLUS","Not yet recruiting","No Results Available","COVID-19","Diagnostic Test: Lung ultrasound","Diagnosis of COVID-19 on lung ultrasound|Difference in diagnosis of COVID-19 on lung ultrasound vs. chest x-ray|Diagnosis of alternative condition to COVID-19 on lung ultrasound vs. chest x-ray|Ability of surveillance lung ultrasound to predict clinical trajectory / outcome in patients with COVID-19|Consistency of lung ultrasound interpretation in patients presenting with suspected COVID-19","University Hospital Plymouth NHS Trust","All","18 Years and older   (Adult, Older Adult)",,"180","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","282661","April 20, 2020","January 20, 2021","January 20, 2021","April 17, 2020",,"April 17, 2020",,,"https://ClinicalTrials.gov/show/NCT04351802"
14,"NCT04345445","Study to Evaluate the Efficacy and Safety of Tocilizumab Versus Corticosteroids in Hospitalised COVID-19 Patients With High Risk of Progression",,"Not yet recruiting","No Results Available","COVID-19","Drug: Tocilizumab|Drug: Methylprednisolone","The proportion of patients requiring mechanical ventilation|Mean days of ventilation|The proportion of patients requiring ICU admission|Overall 28-day survival|Change in symptom severity assessed by the World Health Organization (WHO) Coronavirus Disease 2019 (COVID19) ordinal scale measured daily up to 7 days from baseline|Duration of hospital and ICU stay","University of Malaya","All","18 Years and older   (Adult, Older Adult)","Phase 3","310","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","TVCS-COVID19","April 15, 2020","October 31, 2020","October 31, 2020","April 14, 2020",,"April 14, 2020","University Malaya Medical Centre, Kuala Lumpur, Malaysia",,"https://ClinicalTrials.gov/show/NCT04345445"
15,"NCT04366271","Clinical Trial of Allogeneic Mesenchymal Cells From Umbilical Cord Tissue in Patients With COVID-19","MESCEL-COVID19","Recruiting","No Results Available","COVID","Biological: Mesenchymal cells|Drug: Standard of care","Mortality due to lung involvement due to SARS-CoV-2 virus infection at 28 days of treatment|Mortality due to lung involvement due to SARS-CoV-2 virus infection at 14 days of treatment|Mortality from any cause at 28 days|Days without mechanical respirator and without vasopressor treatment for 28 days|Patients alive without mechanical ventilation and without vasopressors on day 28|Patients alive and without mechanical ventilation on day 14|Patients alive and without mechanical ventilation on day 28|Patients alive and without vasopressors on day 28|Days without vasopressors for 28 days|Patients cured at 15 days|Incidence of Treatment-Emergent Adverse Events","Hospital Infantil Universitario Niño Jesús, Madrid, Spain|Apices Soluciones S.L.","All","40 Years to 80 Years   (Adult, Older Adult)","Phase 2","106","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","MESCEL-COVID19|2020-001450-22","May 7, 2020","July 31, 2020","May 31, 2021","April 28, 2020",,"May 11, 2020","Hospital Universitario de Getafe, Getafe, Madrid, Spain|Hospital Universitario de Cruces, Barakaldo, Spain|Hospital Universitario de La Princesa, Madrid, Spain|Hospital Infantil Universitario Niño Jesus, Madrid, Spain|Hospital Ramón Y Cajal, Madrid, Spain|Complejo Universitario La Paz, Madrid, Spain",,"https://ClinicalTrials.gov/show/NCT04366271"
16,"NCT04359303","Indirect Endovenous Systemic Ozone for New Coronavirus Disease (COVID19) in Non-intubated Patients","OzonoCOVID19","Not yet recruiting","No Results Available","COVID","Other: Systemic indirect endovenous ozone therapy","COVID19 clinical scale|Number of died patients|Oro/nasopharynx virus|Thorax imaging (0=none; 1=unilateral; 2=bilateral; 3=ground-glass opacification; 4=consolidation)|Days in hospital|Venous gas blood analysis","Javier Hidalgo Tallón|Sociedad Española de Ozonoterapia|Universidad Católica San Antonio de Murcia","All","18 Years and older   (Adult, Older Adult)","Phase 3","50","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","P.Inv. Ozono-COVID19 Ver.1.2","June 2020","November 2020","December 2020","April 24, 2020",,"May 19, 2020","SEOT, Valencia, Spain",,"https://ClinicalTrials.gov/show/NCT04359303"
17,"NCT04366739","Repurposing of Chlorpromazine in Covid-19 Treatment","reCoVery","Not yet recruiting","No Results Available","COVID-19","Drug: CHLORPROMAZINE (CPZ)|Combination Product: Standard of Care (SOC)","Time To Response (TTR)|Objective Response Rate (ORR)|All-cause mortality|Duration in days required for hospital discharge|Duration in days required for National Early Warning Score ≤ 2 maintained 24 hours|Number of days without oxygen therapy|Incidence of oxygen use, NIV or high flow oxygen therapy|Duration in days of oxygen prescription, NIV or high flow oxygen therapy|Biochemical response: rate of patients positive for SARS-CoV-2 PCR on a nasopharyngeal sample|Biochemical response: viral load of SARS-CoV-2 on a nasopharyngeal sample|Biochemical response: serum viral load of SARS-CoV-2|Biochemical response: C-reactive protein (CRP)|Biochemical response: blood test for lymphocytes (lymphopenia)|Parenchymal involvement (chest CT)|Define the optimal dose of CPZ and its tolerance: rates of serious adverse events|Define the optimal dose of CPZ and its tolerance: rates of non-serious side effects|Define the optimal dose of CPZ and its tolerance: anxiety assessment on Global Anxiety - Visual Analog Scale (GA-VAS)|Define the optimal dose of CPZ and its tolerance: Rates of drug discontinuation|Define the optimal dose of CPZ and its tolerance: biological anomalies|Define the optimal dose of CPZ and its tolerance: ECG abnormalities|Define the optimal dose of CPZ and its tolerance: plasma CPK assessment|Define the optimal dose of CPZ and its tolerance:plasma CPZ assessment|Define the optimal dose of CPZ and its tolerance: CPZ dose administered","Centre Hospitalier St Anne|Hôpital Cochin","All","18 Years and older   (Adult, Older Adult)","Phase 3","40","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","D20-P016","April 29, 2020","August 30, 2020","September 30, 2020","April 29, 2020",,"April 29, 2020","Centre Hospitalier Sainte-Anne, Paris, France",,"https://ClinicalTrials.gov/show/NCT04366739"
18,"NCT04366960","Comparison of Two Doses of Enoxaparin for Thromboprophylaxis in Hospitalized COVID-19 Patients","X-Covid 19","Recruiting","No Results Available","Covid19","Drug: Enoxaparin","Incidence of venous thromboembolism detected by imaging|In hospital major complications|Number of deep venous thrombosis events|Sequential organ failure assessment|C-reactive protein|Interleukin‐6|D-dimer|hs-troponin levels|Acute Respiratory Distress Syndrome|Hospital stay|Right ventricular function|Number of pulmonary embolism events","Niguarda Hospital","All","18 Years and older   (Adult, Older Adult)","Phase 3","2712","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2020-001708-41","May 14, 2020","August 2020","November 2020","April 29, 2020",,"May 15, 2020","Azienda Socio Sanitaria Territoriale Grande Ospedale Metropolitano Niguarda, Milano, Italy",,"https://ClinicalTrials.gov/show/NCT04366960"
19,"NCT04355741","Gut Microbiota, ""Spark and Flame"" of COVID-19 Disease",,"Not yet recruiting","No Results Available","COVID-19","Other: Exposure","Differences in gut microbiota composition between COVID-19 patients with different degrees of disease severity.|Differences in gut microbiota composition between COVID-19 patients in relation to mortality.|Differences in gut microbiota composition between COVID-19 patients in relation to length of stay in hospitals.|Differences in gut microbiota composition between COVID-19 patients in relation to duration of mechanical ventilation.","Universidade Nova de Lisboa|NOVA Medical School of Universidade NOVA de Lisboa|Hospital de São Francisco Xavier, Centro Hospitalar de Lisboa Ocidental|Centro Hospitalar Universitário São João|CUF Academic and Research Medical Center|Hospital CUF Infante Santo, S.A.|Centro de Medicina Laboratorial Germano de Sousa, S.A.|CINTESIS - Center for Health Technology and Services Research","All","18 Years and older   (Adult, Older Adult)",,"60","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","COVID19_Microbiota","April 2020","July 2020","December 2020","April 21, 2020",,"April 21, 2020","Hospital CUF Infante Santo, S.A., Lisbon, Portugal|Hospital de São Francisco Xavier, Lisbon, Portugal|Centro Hospitalar Universitário São João, Oporto, Portugal",,"https://ClinicalTrials.gov/show/NCT04355741"
20,"NCT04361422","Isotretinoin in Treatment of COVID-19","Randomized","Not yet recruiting","No Results Available","COVID-19","Drug: Isotretinoin Only Product in Oral Dose Form","Clinical clearance","Tanta University","All","18 Years to 40 Years   (Adult)","Phase 3","300","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","9469305c","April 21, 2020","June 2020","September 2020","April 24, 2020",,"April 24, 2020",,,"https://ClinicalTrials.gov/show/NCT04361422"
21,"NCT04388683","Inhaled Nitric Oxide for Preventing Progression in COVID-19","NO-COVID-19","Recruiting","No Results Available","COVID-19","Drug: Nitric Oxide","Prevention of progressive systemic de-oxygenation, with escalation to higher levels of oxygen and ventilatory support or death, assessed using a 7-point severity scale.|Prevention of progression assessed by an alternate severity scale|Time to reaching maximal severity score|Proportion of patients in each stage at maximum severity|PaO2/FIO2 or SaO2/FIO2 ratio, measured daily|Length of hospital Stay (death assigned as worst case)|Frequency of Intubation, ECMO, or need to intubate with ""Do Not Resuscitate"" order|Mortality|IL6 level|TNF-alpha level|Fibrinogen level|CRP level|Ferritin Level|D-dimer level","Tufts Medical Center|Bellerophon","All","18 Years to 85 Years   (Adult, Older Adult)","Phase 2","42","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","STUDY00000554","May 12, 2020","April 30, 2021","July 31, 2021","May 14, 2020",,"May 18, 2020","Tufts Medical Center, Boston, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT04388683"
22,"NCT04328272","Effectiveness of Hydroxychloroquine in Covid-19 Patients","Covid","Not yet recruiting","No Results Available","COVID19","Drug: Hydroxychloroquine 200 Mg Oral Tablet|Drug: Azithromycin 500Mg Oral Tablet|Dietary Supplement: Glucose tablets","National Early Warning Score equal to zero|C-reactive proteins|Lymphocyte Count|d-dimers","Prof. Dr. Umar Farooq|Ayub Medical College, Abbottabad","All","18 Years to 50 Years   (Adult)","Phase 3","75","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","Ath/ct101/22/3","March 28, 2020","May 28, 2020","June 28, 2020","March 31, 2020",,"April 2, 2020","Ayub Teaching Institution, Abbottābād, K.p.k, Pakistan",,"https://ClinicalTrials.gov/show/NCT04328272"
23,"NCT04377763","Developement and Evaluation of Serological Assays for COVID-19","SEROCOV","Not yet recruiting","No Results Available","COVID-19",,"Sensibility and specificity|Delay between the first symptoms and the positive serological result","Assistance Publique - Hôpitaux de Paris","All","18 Years and older   (Adult, Older Adult)",,"500","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","20MWI-SEROCOV","May 2020","October 2020","October 2020","May 6, 2020",,"May 8, 2020","Laboratory of microbiology of hospital hygiene, Ambroise Paré Hospital, APHP, Boulogne-Billancourt, France",,"https://ClinicalTrials.gov/show/NCT04377763"
24,"NCT04347915","The Phase 2 Study to Evaluate the Safety and Efficacy of Clevudine in Patients With Moderate COVID-19",,"Recruiting","No Results Available","COVID-19","Drug: Clevudine|Drug: Hydroxychloroquine","The rate of subjects tested as negative SARS-Coronavirus-2 (SARS-CoV-2)|The rate of subjects tested as negative SARS-Coronavirus-2 (SARS-CoV-2) in consecutive two days of Real-Time RT-PCR tests|The rate of subjects indicated by the improvement of lung invasive|The change of viral load","Bukwang Pharmaceutical","All","19 Years and older   (Adult, Older Adult)","Phase 2","60","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","BK-CLV-201","May 6, 2020","September 30, 2020","December 31, 2020","April 15, 2020",,"May 11, 2020","Korea University Guro Hospital, Seoul, Korea, Republic of",,"https://ClinicalTrials.gov/show/NCT04347915"
25,"NCT04345679","Anti COVID-19 Convalescent Plasma Therapy",,"Not yet recruiting","No Results Available","COVID 19","Biological: anti-SARS-CoV-2 convalescent plasma","Changing of viral load of SARS-CoV2|Changes in immunglobulin G COVID-19 antibody titer|Changes at the cytokine pattern|Intensive Care Unit Admission|Length of hospital stay|Duration of mechanical ventilation|Clinical Status|Mortality","Orthosera Kft.|Semmelweis University|University of Pécs|Hungarian National Blood Service|Humán Bioplazma Kft - Kedrion","All","18 Years and older   (Adult, Older Adult)","Early Phase 1","20","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","AntiCOVID19ORT","April 14, 2020","June 1, 2020","April 1, 2021","April 14, 2020",,"April 24, 2020",,,"https://ClinicalTrials.gov/show/NCT04345679"
26,"NCT04333407","Preventing Cardiac Complication of COVID-19 Disease With Early Acute Coronary Syndrome Therapy: A Randomised Controlled Trial.","C-19-ACS","Recruiting","No Results Available","COVID-19","Drug: Aspirin 75mg|Drug: Clopidogrel 75mg|Drug: Rivaroxaban 2.5 MG|Drug: Atorvastatin 40mg|Drug: Omeprazole 20mg","All-cause mortality at 30 days after admission|Absolute change in serum troponin from admission to peak value|Discharge Rate|Intubation Rate","Imperial College London","All","18 Years to 85 Years   (Adult, Older Adult)","Not Applicable","3170","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","20HH5868","April 3, 2020","March 30, 2021","March 30, 2021","April 3, 2020",,"April 9, 2020","Charing Cross Hospital, London, United Kingdom",,"https://ClinicalTrials.gov/show/NCT04333407"
27,"NCT04321421","Hyperimmune Plasma for Critical Patients With COVID-19","COV19-PLASMA","Recruiting","No Results Available","COVID-19","Other: hyperimmune plasma","death|time to extubation|length of intensive care unit stay|time to CPAP weaning|viral load|immune response","Foundation IRCCS San Matteo Hospital|OSPEDALE CARLO POMA ASST MANTOVA","All","18 Years and older   (Adult, Older Adult)","Not Applicable","49","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IRCCSSanMatteoH","March 17, 2020","May 31, 2020","May 31, 2020","March 25, 2020",,"April 27, 2020","Catherine Klersy, Pavia, PV, Italy|Ospedale Asst Carlo Poma Mantova, Mantova, Italy",,"https://ClinicalTrials.gov/show/NCT04321421"
28,"NCT04370288","Clinical Application of Methylene Blue for Treatment of Covid-19 Patients","Covid-19","Recruiting","No Results Available","Covid-19","Drug: MCN (Methylene blue, vitamin C, N-acetyl cysteine)","Proportion of patients remaining free of need for mechanical ventilation in both groups|Mortality rate in both groups|Improvement in Pa02/Fi02 ratio in both groups|Duration of hospital stay in both group.|Duration of Intensive Care Unit stay in both groups|Days free of dialysis in both groups|C-reactive proteins|WBC Count","Mashhad University of Medical Sciences","All","18 Years to 90 Years   (Adult, Older Adult)","Phase 1","20","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","IR.MUMS.REC.1399.122","April 19, 2020","September 20, 2020","September 21, 2020","April 30, 2020",,"May 4, 2020","Imam Reza Hospital, Mashhad, Razavi Khorasan, Iran, Islamic Republic of",,"https://ClinicalTrials.gov/show/NCT04370288"
29,"NCT04347460","Establishing a COVID-19 Prospective Cohort for Identification of Secondary HLH","COVIDHLH","Recruiting","No Results Available","COVID",,"Presence of sHLH as determined by expert chart review by two independent reviewers|Determine the incidence of patients fulfilling HLH criteria in Covid 19 viral infection|Determine the incidence of patients fulfilling modified 2004 HLH diagnostic criteria (Ferritin > 10000 μg/L) in Covid 19 viral infection|Characterization and incidence of the hyper-inflammatory state in COVID-19|all cause mortality assesed on day 15|all cause mortality assesed on day 29|immunophenotpye","Technische Universität München","All","18 Years and older   (Adult, Older Adult)",,"20","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","161/20 S","March 27, 2020","July 1, 2020","August 31, 2020","April 15, 2020",,"April 15, 2020","Department of nephrology, Klinikum rechts der Isar, München, Bavaria, Germany",,"https://ClinicalTrials.gov/show/NCT04347460"
30,"NCT04377685","Prediction of Clinical Course in COVID19 Patients","COVID-CTPRED","Recruiting","No Results Available","COVID 19","Other: CT-Scan","diagnostic of COVID disease composite","Centre Hospitalier Universitaire de Saint Etienne|Institut National des Sciences Appliquées (INSA)|Institut National de la Santé Et de la Recherche Médicale, France|Centre National pour le Recherche Scientifique (CNRS)|Université de Lyon|Université Jean Monnet","All","18 Years and older   (Adult, Older Adult)",,"800","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","20CH109|IRBN652020/CHUSTE","March 1, 2020","September 30, 2020","September 30, 2020","May 6, 2020",,"May 18, 2020","Chu Saint-Etienne, Saint-Étienne, France",,"https://ClinicalTrials.gov/show/NCT04377685"
