"Rank","Title","Status","Study Results","Conditions","Interventions","Locations","URL"
20,"COVID-19: Human Epidemiology and Response to SARS-CoV-2","Enrolling by invitation","No Results Available","Coronavirus Disease 2019 (COVID-19)|SARS-CoV-2","Procedure: Collection of Biological Samples|Procedure: Symptom and Exposure Surveys","Children's Hospital Colorado: Inner City Asthma Consortium (ICAC) Site, Aurora, Colorado, United States|Children's Hospital Colorado: Outcome Measures in Eosinophilic Gastrointestinal Disorders Across the Ages (OMEGA) Site, Aurora, Colorado, United States|Children's National Medical Center: Inner City Asthma Consortium (ICAC) Site, Washington, District of Columbia, United States|Ann & Robert H. Lurie Children's Hospital of Chicago: Food Allergy Outcomes Related to White and African American Racial Differences (FORWARD) and Improving Technology-Assisted Recording of Asthma Control in Children (iTRACC) Site, Chicago, Illinois, United States|Massachusetts General Hospital:Childhood Microbiome (CHIME) and Wheezing Index (WIND) Site, Boston, Massachusetts, United States|Boston Children's Hospital: School Inner-City Asthma Study (SICAS-2), Environmental Assessment of Sleep in Youth (EASY), Severe Asthma Research Program (SARP) and Preventing Asthma in High Risk Kids (PARK) Site, Boston, Massachusetts, United States|Boston Medical Center: Inner City Asthma Consortium (ICAC) Site, Boston, Massachusetts, United States|Henry Ford Health System: Inner City Asthma Consortium (ICAC) Site, Detroit, Michigan, United States|Henry Ford Health System: Microbes, Asthma, Allergy and Pets (MAAP) and Wayne County Health, Environment, Allergy, and Asthma Longitudinal Study (WHEALS) Site, Detroit, Michigan, United States|St. Louis Children's Hospital: Inner City Asthma Consortium (ICAC) Site, Saint Louis, Missouri, United States|Columbia University Medical Center: Inner City Asthma Consortium (ICAC) Site, New York, New York, United States|Cincinnati Children's Hospital Medical Center: Greater Cincinnati Pediatric Clinic Repository (GCPCR) and Mechanisms of Progression of Atopic Dermatitis to Asthma in Children (MPAACH) Site, Cincinnati, Ohio, United States|Cincinnati Children's Hospital Medical Center: Inner City Asthma Consortium (ICAC) Site, Cincinnati, Ohio, United States|Cincinnati Children's Hospital Medical Center: Outcome Measures in Eosinophilic Gastrointestinal Disorders Across the Ages (OMEGA) Site, Cincinnati, Ohio, United States|Cincinnati Children's Hospital Medical Center:Cincinnati Childhood Allergy & Air Pollution Study (CCAAPS) Site, Cincinnati, Ohio, United States|Vanderbilt University Medical Center: Infant Susceptibility to Pulmonary Infections and Asthma Following RSV Exposure Study (INSPIRE) Site, Nashville, Tennessee, United States|University of Texas Southwestern Medical Center: Inner City Asthma Consortium (ICAC) Site, Dallas, Texas, United States|University of Wisconsin Hospital and Clinics: Childhood Origins of Asthma (COAST) Site, Madison, Wisconsin, United States|University of Wisconsin Hospital and Clinics: Wisconsin Infant Study Cohort (WISC) Site, Madison, Wisconsin, United States","https://ClinicalTrials.gov/show/NCT04375761"
21,"Randomized Clinical Trial for the Prevention of SARS-CoV-2 Infection (COVID-19) in Healthcare Personnel","Recruiting","No Results Available","Coronavirus Infection","Drug: Emtricitabine/tenofovir disoproxil|Drug: Hydroxychloroquine|Drug: Placebo: Emtricitabine/tenofovir disoproxil Placebo|Drug: Placebo: Hydroxychloroquine","Hospital Universitario de Ferrol, Ferrol, A Coruña, Spain|Hospital Clínico Universitario de Santiago, Santiago De Compostela, A Coruña, Spain|Hospital General de Elche, Elche, Alicante, Spain|Hospital Universitario Central de Asturias, Oviedo, Asturias, Spain|Hospital Sant Joan de Deu de Esplugues, Esplugues De Llobregat, Barcelona, Spain|Parc Sanitari Sant Joan de Déu de Sant Boi, Sant Boi De Llobregat, Barcelona, Spain|Hospital Infanta Margarita, Cabra, Córdoba, Spain|Hospital Insular de Las Palmas, Las Palmas De Gran Canaria, Gran Canaria, Spain|Hospital Universitario de Canarias, Las Palmas De Gran Canaria, Gran Canaria, Spain|Hospital de Donostia, San Sebastián, Guipuzcoa, Spain|Hospital San Pedro, Logroño, La Rioja, Spain|Hospital Principe de Asturias, Alcalá De Henares, Madrid, Spain|Hospital Fundación de Alcorcón, Alcorcón, Madrid, Spain|Hospital Colllado Villalba, Collado-Villalba, Madrid, Spain|Hospital Severo Ochoa, Leganés, Madrid, Spain|Hospital Rey Juan Carlos, Móstoles, Madrid, Spain|Hospital Quirón Pozuelo, Pozuelo De Alarcón, Madrid, Spain|Hospital de Torrejón, Torrejón De Ardoz, Madrid, Spain|Hospital Infanta Elena, Valdemoro, Madrid, Spain|Hospital Virgen del Castillo, Yecla, Murcia, Spain|Hospital Costa del Sol, Marbella, Málaga, Spain|Complejo Hospitalario de Navarra, Pamplona, Navarra, Spain|Hospital Arnau de Vilanova, Llíria, Valencia, Spain|Hospital de Araba, Alava, Vitoria, Spain|Hospital General Universitario de Albacete, Albacete, Spain|Centro Médico Teknon, Barcelona, Spain|Hospital Clinic, Barcelona, Spain|Hospital del Mar, Barcelona, Spain|Hospital Dexeus, Barcelona, Spain|Hospital Quirón Barcelona, Barcelona, Spain|Hospital Sant Pau, Barcelona, Spain|Hospital Universitario Sagrat Cor, Barcelona, Spain|Hospital Universitario de Burgos, Burgos, Spain|Hospital Virgen de la Luz, Cuenca, Spain|Hospital Clínico San Cecilio, Granada, Spain|Hospital Universitario de León, León, Spain|Hospital Universitario Ramón y Cajal, Madrid, Spain|Fundación Jiménez Díaz, Madrid, Spain|Hospital Clinico San Carlos, Madrid, Spain|Hospital Infanta Leonor, Madrid, Spain|Hospital La Princesa, Madrid, Spain|Hospital Universitario 12 de Octubre, Madrid, Spain|Hospital Universitario Gregorio Marañon, Madrid, Spain|Hospital Universitario La Paz, Madrid, Spain|Hospital Universitario Puerta de Hierro, Madrid, Spain|Hospital Reina Sofía, Murcia, Spain|Hospital Universitario Virgen de la Arrixaca, Murcia, Spain|Hospital Virgen de la Victoria, Málaga, Spain|Complejo Asistencial de Palencia, Palencia, Spain|Hospital Universitario de Salamanca, Salamanca, Spain|Hospital General de Segovia, Segovia, Spain|Hospital Virgen del Rocio, Sevilla, Spain|Hospital Virgen Macarena, Sevilla, Spain|Hospital Clinico Universitario, Valencia, Spain|Hospital Dr. Peset, Valencia, Spain|Hospital General de Valencia, Valencia, Spain|Hospital La Fe, Valencia, Spain|Hospital de Valladolid, Valladolid, Spain|Hospital Rio Hortega, Valladolid, Spain|Hospital Lozano Blesa, Zaragoza, Spain|Hospital Miguel Servet, Zaragoza, Spain|Hospital Nuestra Señora de Sonsoles, Ávila, Spain","https://ClinicalTrials.gov/show/NCT04334928"
22,"Testing for Dysautonomia in Patients Hospitalized for SARS-CoV-2 Infection (COVID-19) : COVIDANS Study","Recruiting","No Results Available","SARS-CoV 2","Other: ECG-Holter","CHU Hopital nord, Saint-Étienne, France","https://ClinicalTrials.gov/show/NCT04374045"
23,"SARS Cov-2 in Conjunctival Secretion","Completed","No Results Available","Sars-CoV2|Tear","Diagnostic Test: Tears swab","ASST Sette Laghi, Varese, Italy","https://ClinicalTrials.gov/show/NCT04402853"
24,"Treatments to Decrease the Risk of Hospitalization or Death in Elderly Outpatients With Symptomatic SARS-CoV-2 Infection (COVID-19)","Not yet recruiting","No Results Available","Corona Virus Infection|Sars-CoV2","Dietary Supplement: Vitamins|Drug: Hydroxychloroquine|Drug: Imatinib|Drug: Favipiravir|Drug: Telmisartan","Bordeaux university Hospital, Bordeaux, France","https://ClinicalTrials.gov/show/NCT04356495"
25,"Assessment of the Presence of the SARS-COV-2 Virus in the Peritoneum of COVID-19 Patients","Recruiting","No Results Available","Coronavirus Infection","Other: Collection of samples","Department of General and Digestive Surgery, Hospital René Dubos, Pontoise, France|Department of Gynecology-Obstetrics, Hospital René Dubos, Pontoise, France","https://ClinicalTrials.gov/show/NCT04361396"
26,"SARS-CoV-2 Disguise Study","Recruiting","No Results Available","Sars-CoV2","Diagnostic Test: SARS-CoV-2-test|Other: SARS-CoV-2 questionnaire survey","Meshalkin National Medical Research Center, Novosibirsk, Russian Federation","https://ClinicalTrials.gov/show/NCT04395794"
27,"Long-term Assessment of Organ Functions Among Survivors of Severe Acute Respiratory Syndrome","Unknown status","No Results Available","SARS Virus|Long-Term Survivors",,"Peking University People's Hospital, Beijing, Beijing, China","https://ClinicalTrials.gov/show/NCT03443102"
28,"Hydroxychloroquine,Hydroxychloroquine,Azithromycin in the Treatment of SARS CoV-2 Infection","Suspended","No Results Available","Coronavirus Infection","Drug: Hydroxychloroquine Sulfate|Drug: Azithromycin|Drug: Chloroquine Sulfate","Washington University School of Medicine Infectious Disease Clinical Research Unit, Saint Louis, Missouri, United States|Washington University School of Medicine, Saint Louis, Missouri, United States","https://ClinicalTrials.gov/show/NCT04341727"
29,"Solid Organ Transplant Recipients With SARS-CoV-2 French Registry","Recruiting","No Results Available","SARS-CoV-2",,"Service de Néphrologie et Transplantation, Strasbourg, France","https://ClinicalTrials.gov/show/NCT04360707"
30,"Evaluation and Treatment of Severe Acute Respiratory Syndrome (SARS)","Withdrawn","No Results Available","Severe Acute Respiratory Syndrome",,"National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States","https://ClinicalTrials.gov/show/NCT00073086"
31,"Colchicine Coronavirus SARS-CoV2 Trial (COLCORONA)","Recruiting","No Results Available","Corona Virus Infection","Drug: Colchicine|Drug: Placebo oral tablet","University of California, San Francisco - San Francisco General Hospital, San Francisco, California, United States|New York University School of Medecine, New York, New York, United States|Montreal Heart Institute, Montreal, Quebec, Canada|Hospital Universitario La Paz, IdiPaz, La Paz, Madrid, Spain","https://ClinicalTrials.gov/show/NCT04322682"
32,"NOsocomial Dissemination Risk of SARS-Cov2","Not yet recruiting","No Results Available","Sars-CoV2",,,"https://ClinicalTrials.gov/show/NCT04339881"
33,"Convalescent Plasma Compared to the Best Available Therapy for the Treatment of SARS-CoV-2 Pneumonia","Recruiting","No Results Available","Coronavirus Infection","Biological: Plasma|Other: Best Available Therapy","Hospital Universitario José E. Gonzalez, Monterrey, Nuevo Leon, Mexico","https://ClinicalTrials.gov/show/NCT04358783"
34,"Clinical, Biological and Genetic Prognostic Factors for SARS-CoV-2 Infection in Patients Hospitalized in Strasbourg","Recruiting","No Results Available","SARS-CoV-2",,"Service de Virologie - Hôpital Civil, Strasbourg, France","https://ClinicalTrials.gov/show/NCT04405726"
35,"Rapid SARS-CoV-2 IgG Antibody Testing in High Risk Healthcare Workers","Not yet recruiting","No Results Available","SARS-CoV-2","Diagnostic Test: SARS-CoV-2 IgG Antibody Testing Kit",,"https://ClinicalTrials.gov/show/NCT04334876"
36,"SARS-COV2 Pandemic Serosurvey and Blood Sampling","Recruiting","No Results Available","SARS-COV2 Virus",,"University of Alabama, Birmingham, Alabama, United States|National Institutes of Health Clinical Center, Bethesda, Maryland, United States|University of Pittsburgh, Pittsburgh, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT04334954"
37,"Prevention of SARS-CoV-2 in Hospital Workers s Exposed to the Virus","Recruiting","No Results Available","SARS-CoV-2 Infection","Drug: hydroxychloroquine|Drug: azithromycin|Drug: hydroxychloroquine placebo","Hopial Avicenne, Bobigny, France|Hôpital GHU Paris Saclay, Le Kremlin-Bicêtre, France|Hôpital Saint Antoine, Paris, France|Hôpital Broca, Paris, France|Hôpital La Pitié-Salpétrière, Paris, France|Hôpital Cochin, Paris, France|Hôpital européen Georges Pompidou, Paris, France|Hôpital Necker, Paris, France","https://ClinicalTrials.gov/show/NCT04344379"
38,"Rapid Salivary Test to Detect SARS-CoV-2 (COVID-19)","Recruiting","No Results Available","COVID-19|SARS-CoV 2|Corona Virus Infection","Diagnostic Test: rapid salivary test","ASST dei Sette Laghi, Varese, VA, Italy","https://ClinicalTrials.gov/show/NCT04357327"
39,"Seroprevalence of SARS CoV 2 Antibodies in Previously Undiagnosed Healthcare Workers","Enrolling by invitation","No Results Available","SARS-CoV 2|COVID-19","Other: Serologic testing","Mayo Clinic in Florida, Jacksonville, Florida, United States","https://ClinicalTrials.gov/show/NCT04383587"
40,"Study of SARS-CoV2 Virus (COVID-19) Seroprevalence in the Population of Creil Air Force Base (BA110)","Recruiting","No Results Available","Sars-CoV2","Diagnostic Test: Anti-SARS-CoV2 Serology|Behavioral: Questionnaire|Diagnostic Test: Anti-SARS-CoV2 serological controls and serum neutralization","24e antenne médicale de Creil, Creil, France","https://ClinicalTrials.gov/show/NCT04404270"
41,"Study of the SARS-COV-2 (COVID-19) Serological Profile of an Army Training Hospital Staff","Recruiting","No Results Available","Sars-CoV2","Diagnostic Test: Anti-SARS-CoV2 Serology|Other: Questionnaire","Hôpital d'Instuction des Armées Sainte-Anne, Toulon, France|Hôpital d'Instruction des Armées Robert Picqué, Villenave-d'Ornon, France","https://ClinicalTrials.gov/show/NCT04387838"
42,"Evaluation of Quickly Diagnostic Saliva Tests for SARS-CoV-2","Recruiting","No Results Available","SARS-CoV-2","Diagnostic Test: Sampling salivary","UCH Montpellier, Montpellier, France","https://ClinicalTrials.gov/show/NCT04337424"
43,"Prevalence of Long-term Respiratory Complications of Severe SARS-CoV-2 Pneumonia","Not yet recruiting","No Results Available","Severe SARS-CoV2 Pneumonia","Other: Blood sample and data record","Damien JOLLY, Reims, France","https://ClinicalTrials.gov/show/NCT04376840"
44,"Current and Past SARS-CoV-2 Infection and COVID-19 in Healthcare","Recruiting","No Results Available","SARS-CoV 2","Diagnostic Test: Throat swab sample for measuring current infection with SARS-CoV-2|Diagnostic Test: Blood sample for serology to measure past infection with SARS-CoV-2","Karolinska University Hospital, Stockholm, Sweden","https://ClinicalTrials.gov/show/NCT04411576"
45,"Screening for SARS-CoV-2-Infections and Monitoring of Serological Responses to SARS-CoV-2 in Healthcare Workers","Recruiting","No Results Available","SARS-Cov-2","Diagnostic Test: Nasal swab|Diagnostic Test: Serum testing","Greifswald University Medicine, Greifswald, Germany","https://ClinicalTrials.gov/show/NCT04370119"
46,"Serological Study of the Exposure of Personnel to Sars-cov-2","Not yet recruiting","No Results Available","Sars-CoV2","Diagnostic Test: Sars-Cov-2 serology",,"https://ClinicalTrials.gov/show/NCT04422977"
47,"IC14 (Anti-CD14) Treatment in Patients With SARS-CoV-2 (COVID-19)","Not yet recruiting","No Results Available","Sars-CoV2","Biological: IC14|Other: Placebo","University of Washington, Seattle, Washington, United States","https://ClinicalTrials.gov/show/NCT04391309"
48,"Convalescent Plasma for the Treatment of Severe SARS-CoV-2 (COVID-19)","Not yet recruiting","No Results Available","SARS-Cov-2","Drug: Convalescent plasma","Hospital San Vicente Fundacion, Medellín, Antioquia, Colombia","https://ClinicalTrials.gov/show/NCT04391101"
49,"Convalescent Plasma to Limit SARS-CoV-2 Associated Complications","Not yet recruiting","No Results Available","SARS-CoV 2","Biological: SARS-CoV-2 convalescent plasma|Biological: Plasma from a volunteer donor",,"https://ClinicalTrials.gov/show/NCT04373460"
50,"EPA-FFA to Treat Hospitalised Patients With COVID-19 (SARS-CoV-2)","Not yet recruiting","No Results Available","SARS-CoV-2","Drug: Eicosapentaenoic acid gastro-resistant capsules",,"https://ClinicalTrials.gov/show/NCT04335032"
51,"The Effect of EIDD-2801 on Viral Shedding of SARS-CoV-2 (COVID-19)","Not yet recruiting","No Results Available","SARS-CoV 2","Drug: 200 mg EIDD-2801|Drug: 300 mg EIDD-2801|Drug: Placebo (PBO)","Johns Hopkins Bayview Medical Center, Baltimore, Maryland, United States|John Hopkins Hospital, Baltimore, Maryland, United States|Suburban Hospital, Bethesda, Maryland, United States|Howard County General Hospital, Columbia, Maryland, United States","https://ClinicalTrials.gov/show/NCT04405739"
52,"Human Convalescent Plasma for High Risk Children Exposed or Infected With SARS-CoV-2 (COVID-19)","Recruiting","No Results Available","Corona Virus Infection","Biological: Anti-SARS-CoV-2 Human Convalescent Plasma","Johns Hopkins Hospitals, Baltimore, Maryland, United States","https://ClinicalTrials.gov/show/NCT04377672"
53,"Trial of Inhaled Anti-viral (SNG001) for SARS-CoV-2 (COVID-19) Infection","Recruiting","No Results Available","SARS-CoV-2","Drug: Interferon beta 1a|Drug: Placebo","Belfast City Hospital, Belfast, United Kingdom|Queen Elizabeth Hospital,, Birmingham, United Kingdom|Bradford Royal Infirmary, Bradford, United Kingdom|Hull and East Yorkshire NHS Trust, Castle Hill Hospital,, Hull, United Kingdom|Glenfield Hospital,, Leicester, United Kingdom|Wythenshawe Hospital, Manchester, United Kingdom|City Campus of Nottingham University, Nottingham, United Kingdom|John Radcliffe Hospital, Oxford, United Kingdom|University Hospital Southampton Nhs Foundation Trust, Southampton, United Kingdom","https://ClinicalTrials.gov/show/NCT04385095"
54,"Pragmatic Factorial Trial of Hydroxychloroquine, Azithromycin, or Both for Treatment of Severe SARS-CoV-2 Infection","Recruiting","No Results Available","SARS-CoV-2","Other: Standard of care|Drug: Hydroxychloroquine|Drug: Azithromycin","Duke Regional Hospital, Durham, North Carolina, United States|Duke University Hospital, Durham, North Carolina, United States|Durham VA Medical Center, Durham, North Carolina, United States|Duke Raleigh Hospital, Raleigh, North Carolina, United States","https://ClinicalTrials.gov/show/NCT04335552"
55,"Blood Ozonization in Patients With SARS-CoV-2 Respiratory Failure","Recruiting","No Results Available","SARS-CoV-2 Respiratory Failure","Procedure: Medical Ozone procedure","Dott. Amato De Monte, Udine, Italy","https://ClinicalTrials.gov/show/NCT04388514"
56,"Nitric Oxide Gas Inhalation in Severe Acute Respiratory Syndrome in COVID-19","Recruiting","No Results Available","SARS (Severe Acute Respiratory Syndrome)|Coronavirus","Drug: Nitric Oxide Gas","University of Alabama, Birmingham, Alabama, United States|Louisiana State University Health Shreveport, Shreveport, Louisiana, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|Beth Israel Deaconess Medical Center, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT04306393"
57,"The Use of Peripheral Blood Specimens From Patients Suspected of Having SARS-CoV-2 Infections in Research Studies Intended to Support the Development of COVID-19 Detection Methods, Treatments, and/or Vaccines","Not yet recruiting","No Results Available","SARS-CoV-2","Diagnostic Test: nasal pharyngeal (NP) swab samples|Diagnostic Test: peripheral blood draw",,"https://ClinicalTrials.gov/show/NCT04391400"
58,"Predictors of Respiratory Failure in SARS-Cov-2 Infection","Recruiting","No Results Available","SARS-CoV-2 Pneumonia",,"University of Bologna - Department of Medical and Surgical Sciences, Bologna, Italy","https://ClinicalTrials.gov/show/NCT04316949"
59,"Beaumont Quantitative Lung Function Imaging to Characterize Patients With SARS-COV 2","Recruiting","No Results Available","SARS-COV2|Severe Acute Respiratory Syndrome|COVID-19","Device: CT-V","Beaumont Health, Royal Oak, Michigan, United States","https://ClinicalTrials.gov/show/NCT04320511"
60,"Study of Specific Viral Immune Responses Induced by SARS-CoV-2 (COVID-19)","Recruiting","No Results Available","SARS-CoV-2 Infection","Other: Additional biological samples","CHU Jean Minjoz, Besançon, France","https://ClinicalTrials.gov/show/NCT04365322"
61,"Pro-thrombotic Status in Patients With SARS-Cov-2 Infection","Recruiting","No Results Available","Severe Acute Respiratory Syndrome Coronavirus 2","Other: SARS-Cov-2 infection","Azienda Ospedaliera Universitaria di Ferrara, Ferrara, Italy","https://ClinicalTrials.gov/show/NCT04343053"
