"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
11,"NCT04322630","Mer-TK in Human Cardiac Cells",,"Active, not recruiting","No Results Available","Myocardial Inflammation|Myocardial Infarction","Other: Change in Soluble MER Concentration","Change in Soluble MER Concentration|Utility of soluble MER as a biomarker of inflammation and injury","Ann & Robert H Lurie Children's Hospital of Chicago","All","up to 19 Years   (Child, Adult)",,"100","Other","Observational","Observational Model: Other|Time Perspective: Other","2019-2445","May 10, 2019","December 31, 2020","December 31, 2020","March 26, 2020",,"March 27, 2020","Ann & Robert H Lurie Children's Hopsital, Chicago, Illinois, United States",,"https://ClinicalTrials.gov/show/NCT04322630"
12,"NCT02190799","Anti-MERS-CoV Convalescent Plasma Therapy",,"Withdrawn","No Results Available","Respiratory Distress Syndrome (& [Hyaline Membrane Disease])","Biological: Convalescent plasma","Hospital mortality|ICU mortality|ICU Length of Stay|Duration of Mechanical Ventilation|Viral load in tracheal aspirate|Inflammatory markers,|Anti-MERS-CoV antibodies","King Abdullah International Medical Research Center","All","14 Years and older   (Child, Adult, Older Adult)","Phase 2","0","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","RC13-244","May 2014","May 2016","November 2016","July 15, 2014",,"November 21, 2018","Intensive Care Unit, King Abdulaziz Medical City, Riyadh,, Saudi Arabia",,"https://ClinicalTrials.gov/show/NCT02190799"
13,"NCT03301090","A Safety, Tolerability, Pharmacokinetics and Immunogenicity Trial of Co-administered MERS-CoV Antibodies REGN3048 and REGN3051",,"Completed","No Results Available","Corona Virus Infection","Other: Placebo|Biological: REGN3048|Biological: REGN3051","Changes from baseline in abbreviated physical examination|Changes from baseline in clinical safety laboratory values|Changes from baseline in Electrocardiogram (ECG) parameters|Changes from baseline in symptom-directed physical examination|Changes from baseline in vital signs|The incidence of Adverse Events|The incidence of treatment-emergent Serious Adverse Events|The severity of Adverse Events assessed by toxicity grading criteria|The severity of treatment-emergent Serious Adverse Events assessed by toxicity grading criteria|The type of treatment-emergent Serious Adverse Events|AUC for each dose of REGN3048 measured using validated Enzyme Linked Immunosorbent Assays (ELISAs)|AUC for each dose of REGN3051 measured using validated Enzyme Linked Immunosorbent Assays (ELISAs)|AUC(0-infinity) for each dose of REGN3048 measured using validated Enzyme Linked Immunosorbent Assays (ELISAs)|AUC(0-infinity) for each dose of REGN3051 measured using validated Enzyme Linked Immunosorbent Assays (ELISAs)|CL for each dose of REGN3048 measured using validated Enzyme Linked Immunosorbent Assays (ELISAs)|CL for each dose of REGN3051 measured using validated Enzyme Linked Immunosorbent Assays (ELISAs)|CMAX for each dose of REGN3048 measured using validated Enzyme Linked Immunosorbent Assays (ELISAs)|CMAX for each dose of REGN3051 measured using validated Enzyme Linked Immunosorbent Assays (ELISAs)|K(e) for each dose of REGN3048 measured using validated Enzyme Linked Immunosorbent Assays (ELISAs)|K(e) for each dose of REGN3051 measured using validated Enzyme Linked Immunosorbent Assays (ELISAs)|t(1/2) for each dose of REGN3048 measured using validated Enzyme Linked Immunosorbent Assays (ELISAs)|t(1/2) for each dose of REGN3051 measured using validated Enzyme Linked Immunosorbent Assays (ELISAs)|The change from baseline of antibodies against REGN3048 and REGN3051 (anti-drug antibodies, ADA), as measured in serum using validated bridging assays|TMAX for each dose of REGN3048 measured using validated Enzyme Linked Immunosorbent Assays (ELISAs)|TMAX for each dose of REGN3051 measured using validated Enzyme Linked Immunosorbent Assays (ELISAs)|V(ss) for each dose of REGN3048 measured using validated Enzyme Linked Immunosorbent Assays (ELISAs)|V(ss) for each dose of REGN3051 measured using validated Enzyme Linked Immunosorbent Assays (ELISAs)","National Institute of Allergy and Infectious Diseases (NIAID)","All","18 Years to 45 Years   (Adult)","Phase 1","48","NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","15-0109|HHSN272201500005I","February 12, 2018","January 19, 2019","January 19, 2019","October 4, 2017",,"February 1, 2019","WCCT Global Cypress Clinical Pharmacology Unit, Cypress, California, United States",,"https://ClinicalTrials.gov/show/NCT03301090"
14,"NCT03624062","MER3101: MAS-1 Adjuvanted Antigen-specific Immunotherapeutic for Prevention and Treatment of Type 1 Diabetes","MER3101","Recruiting","No Results Available","Type 1 Diabetes Mellitus","Drug: MAS-1 adjuvanted Insulin B-chain","Incidence of Treatment-Emergent Adverse Events [Safety and Tolerability]|Immunologic Analysis|Mean C-peptide AUC value|HbA1c value|Insulin Use","University of Colorado, Denver|The Leona M. and Harry B. Helmsley Charitable Trust|Nova Immunotherapeutics Limited","All","18 Years to 45 Years   (Adult)","Phase 1","28","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","15-1352","April 2020","April 4, 2022","April 4, 2022","August 9, 2018",,"March 16, 2020","University of Colorado, Denver, Aurora, Colorado, United States",,"https://ClinicalTrials.gov/show/NCT03624062"
15,"NCT03133429","Clinical Study to Evaluate the Safety and Effectiveness of MER® Stents in Carotid Revascularisation.","MER","Completed","No Results Available","Carotid Artery Stenosis","Device: MER","Stroke within 30 days after the procedure|MAE|Target vessel revascularization within 365 days|Procedure success|SADE","Balton Sp.zo.o.|KCRI","All","18 Years and older   (Adult, Older Adult)","Not Applicable","100","Industry|Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","MER","October 2016","June 22, 2017","June 25, 2019","April 28, 2017",,"November 19, 2019","Małopolskie Centrum Sercowo-Naczyniowe PAKS American Heart of Poland S.A., Oddział Chirurgii naczyniowej, Chrzanow, Poland|Górnośląskie Centrum Medyczne im. prof. Leszka Gieca Uniwersytetu Medycznego w Katowicach, Oddział Chirurgii Ogólnej, Naczyń, Angiologii i Flebologii, Katowice, Poland|Oddział Kliniczny Chorób Serca i Naczyń Krakowski Szpital Specjalistyczny im. Jana Pawła II, Krakow, Poland|Centrum Interwencyjnego Leczenia Udaru i Chorób Naczyniowych Mózgu Instytut Psychiatrii i Neurologii, Warszawa, Poland",,"https://ClinicalTrials.gov/show/NCT03133429"
16,"NCT03547245","A Phase I Trial to Evaluate the Safety and Immunogenicity of eOD-GT8 60mer Vaccine, Adjuvanted",,"Active, not recruiting","No Results Available","HIV/AIDS","Biological: eOD-GT8 60mer + AS01B/ DPBS sucrose/IM|Biological: DPBS Sucrose","Safety and Tolerability: frequency of local and systemic reactogenicity events|Safety and Tolerability: proportion of volunteers with moderate or greater unsolicited adverse events|Safety and Tolerability: proportion of volunteers in each group with potential immune-mediated diseases (pIMDs)|Immunogenicity: Frequency of responses|Immunogenicity: Magnitude of responses","International AIDS Vaccine Initiative","All","18 Years to 50 Years   (Adult)","Phase 1","48","Other","Interventional","Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: Double (Participant, Care Provider)|Primary Purpose: Prevention","G001","June 15, 2018","January 17, 2020","December 31, 2020","June 6, 2018",,"February 5, 2020","George Washington University, Washington, District of Columbia, United States|Fred Hutchinson Cancer Research Center, Seattle, Washington, United States",,"https://ClinicalTrials.gov/show/NCT03547245"
17,"NCT02500680","The Safety, Tolerance, and Immunogenicity of MAS-1-Adjuvanted Seasonal Inactivated Influenza Vaccine (MER4101)","MER4101","Active, not recruiting","No Results Available","Influenza, Human","Biological: MER4101|Biological: Inactivated Influenza Vaccine","Number of Participants with solicited local and systemic AEs|Number of Participants with Late-Onset Local and Systemic AEs|Number of Participants with laboratory abnormalities|Occurrence of vaccine-related SAEs|Geometric mean titer (GMT) of hemagglutination inhibition assay (HAI) antibodies|Seroconversion rate of HAI antibody titer|Geometric mean fold increase (GMFI) of HAI antibodies (post-vaccination titer relative to pre-vaccination titer)|Occurrence of unsolicited AEs related to vaccine|Occurrence of adverse events of special interest (AESI)|Comparison of rates of unsolicited AEs related to vaccine at intervals following vaccination|Seroprotection rate of HAI antibody titers (proportion of participants with ≥40 reciprocal antibody titer)","Nova Immunotherapeutics Limited|Mercia Pharma Inc.|Nova Laboratories Limited|The Emmes Company, LLC","All","18 Years and older   (Adult, Older Adult)","Phase 1","102","Industry","Interventional","Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","MPE002","July 2015","December 2020","December 2020","July 16, 2015",,"September 6, 2019","Saint Louis University School of Medicine, Saint Louis, Missouri, United States",,"https://ClinicalTrials.gov/show/NCT02500680"
18,"NCT03329092","A Study to Determine the Efficacy, Safety and Tolerability of Aztreonam-Avibactam (ATM-AVI) ± Metronidazole (MTZ) Versus Meropenem (MER) ± Colistin (COL) for the Treatment of Serious Infections Due to Gram Negative Bacteria.","REVISIT","Suspended","No Results Available","Complicated Intra-abdominal Infection|Hosptial Acquired Pneumonia|Ventilator Associated Pneumonia","Drug: ATM-AVI|Drug: MTZ|Drug: MER|Drug: COL","Proportion of subjects with clinical cure in the ITT and CE analysis sets|Proportion of subjects with clinical cure in the m-ITT and ME analysis sets|Proportion of subjects with clinical cure by infection type in the ITT and CE analysis sets.|Proportion of subjects with clinical cure for subjects with MBL positive pathogens in the micro ITT and ME analysis sets.|Proportion of subjects with a favorable per subject microbiological response in the micro ITT and ME analysis sets.|Proportion of subjects who died|PK of ATM|PK/PD relationship between exposure and clinical response for ATM AVI±MTZ in the popPK analysis set|PK of AVI|PK/PD relationship between exposure and clinical response for ATM/AVI +/- MTZ in the popPK analysis set|PK/PD relationship between exposure and microbiological response for ATM/AVI+/-MTZ in the popPK analysis set|Description of safety in terms of adverse events","Pfizer|Innovative Medicines Initiative (IMI) COMBACTE-CARE (EU)|Biomedical Advanced Research and Development Authority","All","18 Years and older   (Adult, Older Adult)","Phase 3","375","Industry|Other|U.S. Fed","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","C3601002|D4910C00004|2017-002742-68","April 5, 2018","November 14, 2021","November 30, 2021","November 1, 2017",,"May 20, 2020","Banner University Medical Center - Tucson, Tucson, Arizona, United States|LA BioMed, Harbor-UCLA Medical Center, Torrance, California, United States|Lundquist Institute for Biomedical Innovation at Harbor-UCLA Medical Center, Torrance, California, United States|Harbor-UCLA Medical Center, Torrance, California, United States|Southern Illinois University School of Medicine, Springfield, Illinois, United States|Memorial Medical Center, Springfield, Illinois, United States|OU Medical Center Hospital, Oklahoma City, Oklahoma, United States|OU Physicians Building, Oklahoma City, Oklahoma, United States|Presbyterian Professional Building, Oklahoma City, Oklahoma, United States|University of Oklahoma Health Sciences Center, Oklahoma City, Oklahoma, United States|Hospital Privado de Comunidad, Mar del Plata, Buenos Aires, Argentina|Sanatorio Britanico, Rosario, Santa FE, Argentina|Sanatorio Servicios Medicos SM, Santo Tome, Santa FE, Argentina|Hospital Nuestra Senora de la Misericordia, Cordoba, Argentina|Hospital San Roque, Córdoba, Argentina|First Multiprofile Hospital for Active Treatment - Sofia EAD, Sofia, Bulgaria|University Hospital Alexandrovska, Clinic of Anesthesiology and Intensive Care, Sofia, Bulgaria|University Hospital Queen Joanna ISUL, Clinic of Surgery, Sofia, Bulgaria|University Multiprofile Hospital for Active Treatment - Sofia Military Medical Academy, Sofia, Bulgaria|University Multiprofile Hospital for Active Treatment ''Prof.Dr Stoyan Kirkovich''AD, Stara Zagora, Bulgaria|Hospital Clinico Universidad de Chile, Santiago de Chile, Region Metropolitana DE Santiago, Chile|Klinicka bolnica Merkur, Zagreb, GRAD Zagreb, Croatia|Klinicki bolnicki centar Rijeka, Rijeka, Primorsko-goranska Zupanija, Croatia|Klinicki bolnicki centar Split, Split, Splitsko-dalmatinska Zupanija, Croatia|Krajska zdravotni, a.s. - Nemocnice Decin, o.z., Decin II, Czechia|Petz Aladar Megyei Oktato Korhaz, Altalanos Sebeszeti Osztaly, Gyor, Hungary|Zala Megyei Szent Rafael Korhaz, Zalaegerszeg, Hungary|King George Hospital, Visakhapatnam, Andhra Pradesh, India|Artemis Hospital, Gurugram, Haryana, India|Victoria Hospital, Bangalore Medical College and Research Institute, Bangalore, Karnataka, India|M S Ramaiah Medical College and Hospitals, Bangalore, Karnataka, India|Kasturba Medical College and Hospital, Manipal, Karnataka, India|JSS Hospital, Mysuru, Karnataka, India|Government Medical College, Kozhikode, Kozhikode, Kerala, India|Deenanath Mangeshkar Hospital And Research Centre, Pune, Maharashtra, India|S.R. Kalla Memorial Gastro & General Hospital, Jaipur, Rajasthan, India|Apollo Hospitals, Chennai, Tamil NADU, India|Sahyadri Specialty Hospital, Pune, India|Rambam Health Care Campus, Haifa, Israel|Hadassah Medical Organization, Hadassah Medical Center, Ein-Karem, Jerusalem, Israel|Tel Aviv Sourasky Medical Center, Tel Aviv, Israel|The Chaim Sheba Medical Center, Tel-Hashomer, Israel|Shamir Medical Center, Infectious Diseases Unit, Zerifin, Israel|Azienda Ospedaliero Universitaria di Modena, Modena, Italy|Farmacia Ospedaliera - Direzione Assistenza Farmaceutica, Modena, Italy|SC di Radiologia - Azienda Ospedaliera Universitaria di Modena, Modena, Italy|ASST Monza Ospedale San Gerardo Malattie Infettive, Monza, Italy|Farmacia Ospedaliera ASST Monza Ospedale San Gerardo, Monza, Italy|Radiologia ambulatoriale-Palazzina accoglienza ASST Monza Ospedale San Gerardo, Monza, Italy|AORN Dei Colli - Ospedale Cotugno, Napoli, Italy|Servizio Farmacia, Napoli, Italy|Servizio Radiologia, Napoli, Italy|Azienda Ospedaliero-Universitaria Pisana Ospedale Cisanello, Pisa, Italy|UO Radiognastostica 2 Azienda Ospedaliero-Universitaria Pisana Ospedale Cisanello, Pisa, Italy|UO Farmaceutica Azienda Ospedaliero-Universitaria Pisana, Pisa, Italy|Fondazione Policlinico Agostino Gemelli, Roma, Italy|Radiologia d' Urgenza Fondazione Policlinico Agostino Gemelli, Roma, Italy|Servizio di Farmacia Sperimentale Fondazione Policlinico Agostino Gemelli, Roma, Italy|Gachon University Gil Medical Center - Infectious Disease, Incheon, Incheon Gwang'yeogsiv, Korea, Republic of|Dong-A University Hospital, Busan, Korea, Republic of|Korea University Anam Hospital, Seoul, Korea, Republic of|Seoul National University Hospital, Seoul, Korea, Republic of|The Catholic University of Korea, Eunpyeong St. Mary's Hospital, Seoul, Korea, Republic of|Hallym University Kangnam Sacred Heart Hospital, Seoul, Korea, Republic of|Hospital Raja Perempuan Zainab II, Kota Bharu, Kelantan, Malaysia|Hospital Raja Permaisuri Bainun, Ipoh, Perak, Malaysia|Hospital Pulau Pinang, George Town, Pulau Pinang, Malaysia|Hospital Seberang Jaya, Seberang Jaya, Pulau Pinang, Malaysia|UMAE Hospital de Especialidades Centro Medico Nacional Siglo XXI, Delegación Cuauhtémoc, Ciudad DE México, Mexico|Hospital Civil Fray Antonio Alcalde, Guadalajara, Jalisco, Mexico|Hospital Universitario ""Dr. Jose Eleuterio Gonzalez"", Monterrey, Nuevo LEON, Mexico|Hospital General 450, Durango, Mexico|Hospital Maria Auxiliadora/Unidad de Investigacion en Oncologia, San Juan de Miraflores, Lima, Peru|Hospital Nacional Adolfo Guevara Velasco, Cusco, Peru|Clinica Internacional - Unidad de Investigacion de la Clinica Internacional, Lima, Peru|Hospital Nacional Dos de Mayo - Centro de Investigacion Medicina Interna, Lima, Peru|Hospital Nacional Edgardo Rebagliati Martins, Lima, Peru|De La Salle Medical and Health Sciences Institute, City Of Dasmarinas, Cavite, Philippines|Davao Doctors Hospital, Davao City, Philippines|St. Paul's Hospital of Iloilo, Inc., Iloilo City, Philippines|West Visayas State University Medical Center, Iloilo City, Philippines|Philippine General Hospital, Central Intensive Care Unit, Manila, Philippines|Philippine General Hospital, Manila, Philippines|Spitalul Clinic de Boli Infectioase si tropicale ""Dr. Victor Babes"", Bucuresti, Romania|Spitalul Clinic de Boli Infectioase Cluj-Napoca, Cluj-Napoca, Romania|Spitalul Clinic de Boli Infectioase ""Sf. Parascheva"" Iasi, Iasi, Romania|Institutul Regional de Oncologie Iasi, Iasi, Romania|Spitalul Clinic Judetean de Urgenta ""Pius Brinzeu"", Timisoara, Romania|GBUZ ""Regional clinical hospital #3"", Chelyabinsk, Russian Federation|NUZ ""Railway Clinical Hospital at the station Chelyabinsk of JSC ""Russian Railways"", Chelyabinsk, Russian Federation|SBHI of the city of Moscow ""City Clinical Hospital named after S.S.Yudin"", Moscow, Russian Federation|SBHI of the city of Moscow ""N.I.Pirogov City Clinical Hospital #1"", Moscow, Russian Federation|GBUZ of the Novosibirsk Region""City Clinical Hospital #2"", Novosibirsk, Russian Federation|GBUZ of the Novosibirsk region ""City Clinical Hospital #25"", Novosibirsk, Russian Federation|State autonomous institution of healthcare of the Perm Region"" City clinical hospital #4"", Perm, Russian Federation|FGBOU VO ""The First St. Petersburg State Medical University n. a. I.P. Pavlova"", Saint Petersburg, Russian Federation|FGBOU VO ""North-West state medical university n.a. I.I. Mechnikov"", Saint-Petersburg, Russian Federation|FGBOU VO ""The First St. Petersburg state medical university n. a. I.P. Pavlova"", Saint-Petersburg, Russian Federation|Clinical Emergency Hospital, Smolensk, Russian Federation|Smolensk Regional Clinical Hospital, Smolensk, Russian Federation|FSBEI HE ""Smolensk State Medical University"" of the Ministry of Health of the Russian Federation, Smolensk, Russian Federation|FSBEI HE ""Smolensk State Medical University"" of the Ministry of Healthcare of the Russian Federation, Smolensk, Russian Federation|Scientific Research Institute of Antimicrobial Chemotherapy, Smolensk, Russian Federation|Helen Joseph Hospital ICU Research Unit, Auckland Park, Gauteng, South Africa|Tiervlei Trial Centre, Cape Town, Western CAPE, South Africa|Hospital Universitari Germans Trias i Pujol, Badalona, Barcelona, Spain|Hospital Universitario de Bellvitge, L'Hospitalet de Llobregat, Barcelona, Spain|Hospital Universitario Mutua de Terrassa, Terrassa, Barcelona, Spain|Complejo Hospitalario San Millan y San Pedro de la Rioja. Hospital de San Pedro, Logrono, LA Rioja, Spain|Parc de Salut Mar- Hospital del Mar, Barcelona, Spain|Hospital de la Santa Creu i Sant Pau, Barcelona, Spain|Hospital Universitario Reina Sofia, Cordoba, Spain|Hospital Universitario Ramon y Cajal, Madrid, Spain|Hospital Regional Universitario de Malaga, Malaga, Spain|Hospital Universitario Virgen Macarena, Sevilla, Spain|Hospital Universitario Virgen del Rocio, Sevilla, Spain|Hospital Universitari i Politecnic la Fe, Valencia, Spain|Hospital Universitario Miguel Servet, Zaragoza, Spain|National Taiwan University Hospital Yun-Lin Branch, Douliou, Yunlin, Taiwan|Kaohsiung Medical University Chung-Ho Memorial Hospital, Kaohsiung City, Taiwan|Kaohsiung Veterans General Hospital, Kaohsiung, Taiwan|Taichung Veterans General Hospital, Taichung City, Taiwan|National Taiwan University Hospital, Taipei City, Taiwan|Taipei Municipal Wanfang Hospital, Taipei, Taiwan|Srinagarind Hospital, Division of Infectious Disease and Tropical Medicine, Muang, Khon Kaen, Thailand|Bamrasnaradura Infectious Disease Institute (BIDI), Muang Nonthaburi, Nonthaburi, Thailand|Phramongkutklao Hospital, Pulmonary and Critical Care Division, Bangkok, Thailand|Buddhachinnaraj hospital, Phitsanulok, Thailand|Hacettepe Universitesi Tip Fakultesi, Ankara, Turkey|T.C. Saglik Bakanligi Ankara Sehir Hastanesi, Ankara, Turkey|Marmara Universitesi Pendik Egitim Arastirma Hastanesi, Istanbul, Turkey|Ege University Faculty of Medicine, Izmir, Turkey|Karadeniz Technical University Medical Faculty Farabi Hospital, Trabzon, Turkey|OKU ""Chernivetska oblasna klinichna likarnia"", khirurhichne viddilennia, Chernivtsi, Ukraine|KZ ""Dnipropetrovska oblasna klinichna likarnia im. I.I. Mechnykova"", viddilennia khirurhii №2, Dnipro, Ukraine|Komunalnyi zaklad ""Dnipropetrovska miska bahatoprofilna klinichna likarnia #4"", Dnipro, Ukraine|Oblasna klinichna likarnia, viddilennia anesteziolohii ta intensyvnoi terapii,, Ivano-Frankivsk, Ukraine|Ivano-Frankivska tsentralna miska klin likarnia, viddilennia khirurhii,, Ivano-Frankivsk, Ukraine|DU ""Instytut zahalnoi ta nevidkladnoi khirurhii imeni V.T. Zaitseva Natsionalnoi akademii medychnykh, Kharkiv, Ukraine|Kyivska miska klinichna likarnia No. 3, khirurhichne viddilennia, Kyiv, Ukraine|Kyivska miska klinichna likarnia #4, khirurhichne viddilennia #1, Kyiv, Ukraine|Odeska klinichna likarnia na zaliznychnomu transporti filii ""Tsentr okhorony zdorovia"" aktsionernoho, Odesa, Ukraine|Komunalne pidpryiemstvo ""1-a miska klinichna likarnia Poltavskoi miskoi rady"",, Poltava, Ukraine|Vinnytska oblasna klinichna likarnia im. M.I. Pyrohova, klinichnyi tsentr torakalnoi khirurhii, Vinnytsia, Ukraine|Vinnytska oblasna klinichna likarnia im. M.I. Pyrohova, Vinnytsia, Ukraine|Bach Mai Hospital, Hanoi, Vietnam|National Lung hospital, Hanoi, Vietnam|Viet Duc hospital, Hanoi, Vietnam|Trung Vuong Hospital, Ho Chi Minh City, Vietnam",,"https://ClinicalTrials.gov/show/NCT03329092"
19,"NCT00636740","Multi-Center Phase II Study to Compare MER-101 20mg Tablets to Intravenous Zometa 4mg in Male Bisphosphonate-Naive, Hormone Refractory Prostate Cancer Patients",,"Completed","No Results Available","Hormone-Refractory Prostate Cancer","Drug: Zoledronic Acid 20mg Tablets|Drug: Zoledronic Acid","Effects on 4 markers of bone metabolism|Brief Pain Inventory","Merrion Pharmaceuticals, LLC","Male","18 Years and older   (Adult, Older Adult)","Phase 2","30","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","MER-101-03","February 2008","February 2009","February 2009","March 14, 2008",,"February 20, 2009","Birmingham Hematology & Oncology Associates, LLC, Birmingham, Alabama, United States|Cancer Care of North Florida, P.A., Lake City, Florida, United States|Lakeland Regional Cancer Center, Lakeland, Florida, United States|Innovative Medical Research of South Florida, Inc., Miami, Florida, United States|Green Clinic, LLC, Ruston, Louisiana, United States|New York Urological Associates, PC, New York, New York, United States|Charleston Hematology Oncology Associates, PA, Charleston, South Carolina, United States|Cancer Outreach Associates, P.C., Abingdon, Virginia, United States|East Tallinn Central Hospital, Tallinn, Estonia|North Estonian Regional Hospital, Tallinn, Estonia|Tartu University Hospital, Tartu, Estonia|O. Hublarovs Private Practice, Daugavpils, Latvia|P. Stradina Clinical University Hospital, Riga, Latvia",,"https://ClinicalTrials.gov/show/NCT00636740"
20,"NCT02788188","Safety, Tolerability, and Pharmacokinetics of SAB-301 in Healthy Adults",,"Completed","Has Results","Middle East Respiratory Syndrome Coronavirus","Biological: SAB-301|Other: Normal (9%) Saline","Number of Participants Having Adverse Events","National Institute of Allergy and Infectious Diseases (NIAID)|Naval Medical Research Center|SAB Biotherapeutics Inc.|National Institutes of Health Clinical Center (CC)","All","18 Years to 60 Years   (Adult)","Phase 1","38","NIH|U.S. Fed|Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","160119|16-I-0119","May 28, 2016","April 10, 2018","April 30, 2018","June 2, 2016","June 12, 2018","June 12, 2018","National Institutes of Health Clinical Center, Bethesda, Maryland, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/88/NCT02788188/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT02788188"
21,"NCT01883973","MER Versus MRI Guidance DBS in Parkinson's Disease",,"Unknown status","No Results Available","Idiopathic Parkinson's Disease (PD)",,"percentage improvement in the UPDRS part III motor score","Baylor College of Medicine","All","30 Years to 79 Years   (Adult, Older Adult)",,"20","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","H-27630","May 2011","December 2014",,"June 21, 2013",,"June 21, 2013","Baylor College of Medicine, Houston, Texas, United States",,"https://ClinicalTrials.gov/show/NCT01883973"
22,"NCT03666468","The Gaming for Medical Education Research (G4MER) Program","G4MER","Recruiting","No Results Available","Education, Medical","Other: PlayMed|Other: Online Package|Other: Paper Guidelines","Multiple choice quiz score|Asthma observed structured clinical examination (OSCE) score|Seizure observed structured clinical examination (OSCE) scoresimulation lab)|Participant attitudes towards educational intervention|Time to specific actions in OSCE scenarios|Anti-epileptic medication(s) administered at correct time during OSCE scenario","The University of New South Wales","All","20 Years to 99 Years   (Adult, Older Adult)","Not Applicable","264","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Investigator, Outcomes Assessor)|Primary Purpose: Treatment","HC17160-LNR/17/SCHN/194","July 3, 2017","February 28, 2022","April 30, 2022","September 11, 2018",,"July 31, 2019","Sydney Children's Hospital, Randwick, New South Wales, Australia","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/68/NCT03666468/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT03666468"
