Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL,Inclusion Criteria,Exclusion Criteria
663,NCT02121379,Randomized Clinical Trial of 8 Weeks Pulmonary Rehabilitation in Advanced Stage Lung Cancer Patients With COPD During Cytotoxic Chemotherapy,,Unknown status,No Results Available,COPD|Lung Cancer,Behavioral: pulmonary rehabilitation,difference of VO2 max|difference of Saint George's Respiratory Questionannaire (SGRQ) score|difference of pulmonary function test|difference of 6 min walk test|difference of depression test,Seoul National University Hospital,All,"20 Years and older 혻 (Adult, Older Adult)",Not Applicable,40,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,H-1401-116-549,May.14,May.15,Oct.15,23.Apr.14,,2.Jun.14,"Seoul National University Hospital, Seoul, Korea, Republic of",,https://ClinicalTrials.gov/show/NCT02121379,"1. pathologically proven lung cancer
2. chronic obstructive pulmonary disease
3. age > 20
4. ECOG 0-1
5. cytotoxic chemotherapy","1. other history of cancer within 5 years
2. other major disease associated with heart, lung, neurology, mental and metabolic disorders
3. osteolytic bone metastatis to weight bearing site
4. uncontrolled infection"
664,NCT03424759,Uncommon EGFR AZD9291,,Unknown status,No Results Available,Non Small Cell Lung Cancer,Drug: AZD9291,Objective response rate,Samsung Medical Center,All,"19 Years and older 혻 (Adult, Older Adult)",Phase 2,37,Other,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,2015-06-176,1.Jan.16,31.Dec.17,31.Jul.19,7.Feb.18,,7.Feb.18,"Department of Medicine, Samsung Medical Center, Sungkyunkwan University School of Medicine, Seoul, Korea, Republic of",,https://ClinicalTrials.gov/show/NCT03424759,"1. Histologically confirmed metastatic or recurrent stage IV NSCLC with activating EGFR mutation other than deletion in exon 19, L858R, T790M and insertion in exon 20
2. metastatic or recurrent NSCLC
3. Be 19years of age on day of signing informed consent
4. ECOG performance status of 0 to 2
5. At least one measurable lesion by RECIST 1.1(The part of radiation treatment in the palliative setting is excluded.)
6. Untreated asymptomatic brain metastasis or symptomatic brain metastasis treated with local treatment such as operation, whole brain radiotherapy, or gamma-knife surgery
7. At least 2 weeks later after whole brain radiotherapy or at least 4 weeks later after palliative thoracic radiotherapy
8. Adequate organ function as evidenced by the following; Absolute neutrophil count > 1.5 x 109/L; Hb > 9.0g/dL; platelets > 100 x 109/L; total bilirubin ≤1.5 UNL; AST and/or ALT < 2.5 ULN if no demonstrable liver metastases or < 5 UNL in the presence of liver metastases, CCr ≥ 50mL/min
9. Written informed consent form","1. Prior treatment with EGFR TKI
2. Major surgery undertaken less than 4 weeks before the study
3. Localized palliative radiotherapy unless completed more than 2 weeks before the study
4. Uncontrolled systemic illness such as DM, CHF, unstable angina, hypertension or arrhythmia
5. Pregnant or nursing women (Women of reproductive potential have to agree to use an adequate contraceptive method)
6. Uncontrolled symptomatic brain metastasis
7. Prior history of malignancy within 5 years from study entry except for adequately treated basal cell or squamous cell skin cancer or in situ cervical cancer, or well-treated thyroid cancer
8. Concomitant use of CYP3A4 inducers/inhibitors
9. Prolonged QT interval in ECG (QTc >450 msec)
10. Prior history of interstitial lung disease"
667,NCT01823068,Vandetanib in Advanced NSCLC With RET Rearrangement,,Unknown status,No Results Available,Non Small Cell Lung Cancer,Drug: Vandetanib,Objective response rate (ORR)|Progression-free survival (PFS)|Disease-control rate (DCR)|Overall survival (OS)|Number of Participants with Adverse Events,Samsung Medical Center|AstraZeneca,All,"18 Years and older 혻 (Adult, Older Adult)",Phase 2,17,Other|Industry,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,2013-09-089-01,Apr.13,Jan.18,Jul.18,4.Apr.13,,20.Apr.16,"Seoul National University Hospital, Seoul, Korea, Republic of|Samsung Medical Center, Seoul, Korea, Republic of",,https://ClinicalTrials.gov/show/NCT01823068,"1. Provision of informed consent
2. Female or male aged 18 years or over
3. Histologically confirmed locally advanced or metastatic (stage IIIB or IV) NSCLC
4. Failure after platinum-based chemotherapy
5. Presence of a RET fusion in an archival or newly acquired NSCLC tumor specimen (RET fusion should be performed in central laboratory by FISH)
6. ECOG performance status of 0, 1 or 2
7. Negative pregnancy test (urine or serum) for female patients of childbearing potential
8. Measurable disease according to RECIST 1.1 criteria
9. Life expectancy of >12 weeks
10. Able to swallow study medication
11. If the subject is on the course of radiotherapy, one can be enrolled after radiotherapy","1. Involvement in the planning/conduct of this study
2. Previous enrollment in the present study
3. Previous exposure to vandetanib
4. Unstable brain metastases or spinal cord compression that requires treatment (The patients with treated brain metastases who are on a stable dose of steroids can be included)
5. Major surgery within 28 days before starting treatment
6. The last dose of prior chemotherapy received less than 28 days prior to starting treatment
7. Any unresolved chronic toxicity greater than CTCAE grade 2 from previous anticancer therapy
8. Serum bilirubin greater than 1.5 x the upper limit of reference range (ULRR)
9. Alanine aminotransferase (ALT), aspartate aminotransferase (AST), or alkaline phosphatase (ALP) greater than 2.5 x ULRR, or greater than 5.0 x ULRR if judged by the investigator to be related to liver metastases
10. Creatinine clearance <30 mL/min (Patients with moderate renal impairment defined as screening creatinine clearance ≥30 to <50 mL/min will start vandetanib at a reduced dose of 200 mg once daily and will continue this dose throughout the study, unless further dose reduction is required)
11. Unacceptable electrolyte imbalance (Potassium <4.0 mmol/L despite supplementation, Magnesium below normal range despite supplementation, Calcium as evaluated by either ionized or standard serum tests: ionized calcium below the normal range or serum calcium above the CTCAE grade I upper limit)
12. Significant cardiac event (e.g. myocardial infarction), superior vena cava syndrome, NYHA classification of heart disease ≥2 within 12 weeks before starting treatment, or presence of cardiac disease that in the opinion of the investigator increases the risk of ventricular arrhythmia
13. History of ventricular arrhythmia, which is symptomatic or requires treatment (CTCAE grade 3), symptomatic or uncontrolled atrial fibrillation, or asymptomatic sustained ventricular tachycardia. (Patients with atrial fibrillation controlled by medication are permitted)
14. Uncontrolled hypertension (systolic blood pressure >160 mmHg or diastolic blood pressure > 100 mmHg)
15. Past medical history of, or clinically active interstitial lung disease
16. Evidence of severe or uncontrolled systemic disease
17. Previous or current malignancies of other histologies within the last 3 years. (In situ carcinoma of the cervix, adequately treated basal cell or squamous cell carcinoma of the skin is exceptionally permitted)
18. Congenital long QT syndrome
19. Any concomitant medications that are known to be associated with Torsades de Pointes or potent inducers of cytochrome P450 3A4 (CYP3A4) function and/or any prohibited medications
20. History of QT prolongation associated with other medication that required discontinuation of that medication
21. QTcB correction unmeasurable or >480 ms on screening ECG
22. Participation in a clinical study and/or receipt of an investigational drug within 28 days prior to enrollment
23. Females only - currently pregnant or breast feeding"
673,NCT03732274,Study of Vactosertib in Combination With Durvalumab in Advanced NSCLC,,Recruiting,No Results Available,Non-Small Cell Lung Cancer Metastatic,Drug: TEW-7197,Maximum Tolerated Dose|Number of participants with treatment -related adverse events|Objective Response Rate (%)|Pharmacokinetics (PK) of TEW-7197|Pharmadynamics of TEW-7197,"MedPacto, Inc.|AstraZeneca",All,"19 Years and older 혻 (Adult, Older Adult)",Phase 1|Phase 2,63,Industry,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,MP-VAC-203,21.Dec.18,1.Oct.22,30.Dec.22,6.Nov.18,,18.Jan.20,"Yeonsei University Hospotal, Seoul, Korea, Republic of",,https://ClinicalTrials.gov/show/NCT03732274,"1. Eastern Cooperative Oncology Group (ECOG) performance status (PS) of 0 or 1 at enrollment
2. Histological or cytological confirmation of advanced NSCLC who progressed following platinum-based chemotherapy.
3. Confirmation of measurable disease based on RECIST 1.1 by investigators
4. No prior exposure to immune-mediated therapy .
5. In dose escalation phase, 6 DLT evaluable patients whose tumor cell PD-L1 expression less than 25% will be enrolled in each cohort. In dose expansion phase, 45 patients with confirmed PD-L1-positive NSCLC by the Ventana SP263 IHC assay will be enrolled
6. All patients must be able to provide an available tumor sample taken ≤3 years prior to screening
7. Adequate organ and marrow function
8. Must have a life expectancy of at least 12 weeks
9. Body weight >30 kg","1. History of allogeneic organ transplantation.
2. Active or prior documented autoimmune or inflammatory disorders
3. Uncontrolled intercurrent illness, including but not limited to, ongoing or active infection, symptomatic congestive heart failure .
4. History of another primary malignancy
5. History of active primary immunodeficiency
6. Brain metastases or spinal cord compression.
7. QT interval corrected for heart rate using Fridericia's formula (QTcF) ≥450 ms in male and ≥470 ms in female
8. Known allergy or hypersensitivity to any of the study drugs or any of the study drug excipients
9. Receipt of the last dose of anticancer therapy (chemotherapy, endocrine therapy, targeted therapy, biologic therapy, tumor embolization, or monoclonal antibodies) ≤ 3 weeks prior to the first dose of study drug
10. Radiotherapy with a limited field of radiation for palliation within 1 week of the first dose of study treatment
11. Receipt of live attenuated vaccine within 30 days prior to the first dose of IP.
12. Major surgical procedure
13. Current or prior use of immunosuppressive medication within 14 days.
14. The prohibited medications
15. Participation in another clinical study with an investigational product administered in the last 30 days
16. Judgment by the Investigator that the patient should not participate in the study if the patient is unlikely to comply with study procedures, restrictions, and requirements."
677,NCT01301560,Chemotherapy With or Without Radiosurgery for Asymptomatic Oligo Brain Metastasis,,Unknown status,No Results Available,Nonsmall Cell Lung Cancer,Radiation: Radiosurgery|Radiation: Observation,overall survival|Time to CNS progression,Samsung Medical Center,All,"18 Years and older 혻 (Adult, Older Adult)",Phase 3,176,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,2008-05-024,Jun.08,May.13,,23.Feb.11,,23.Feb.11,"Samsung Medical Center, Seoul, Korea, Republic of",,https://ClinicalTrials.gov/show/NCT01301560,"1. Histologically confirmed non-small cell lung cancer with synchronous brain metastases
2. One to 4 intraparenchymal brain metastases by contrast-enhanced MRI, meeting the following criteria:
1) Well circumscribed tumor(s) with brain edema Grade 0-1
2) Maximum diameter ≤ 3.0 cm
3. No prior surgical treatment or RT for brain metastases
4. No leptomeningeal metastases by MRI or cerebrospinal fluid evaluation
5. Patients without any symptoms or signs from brain metastases (RTOG neurologic functions status of 0)
6. Age, 18 and over
7. ECOG performance status 0-1
8. Written informed consent","1. severe co-morbid illness and/or active infections
2. pregnant or lactating women
3. RTOG neurologic function status of 1~4
4. Uncontrollable extracranial metastases"
678,NCT03656094,Chemotherapy With Pembrolizumab Continuation After Progression to PD-1/L1 Inhibitors,,Recruiting,No Results Available,Non-small Cell Lung Cancer Metastatic,Drug: Pembrolizumab plus chemotherapy|Drug: Placebo plus chemotherapy,Progression-free survival (PFS)|Objective Response Rate (ORR)|Overall survival (OS)|Toxicity by CTCAE,Samsung Medical Center,All,"20 Years to 90 Years 혻 (Adult, Older Adult)",Phase 2,98,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",SMC 2018-07-044,1.Nov.18,1.Nov.20,1.Nov.21,4.Sep.18,,9.Dec.19,"Jong-Mu Sun, Seoul, Korea, Republic of",,https://ClinicalTrials.gov/show/NCT03656094,"1. Male /female participants who are at least 20 years of age on the day of signing informed consent with histologically confirmed diagnosis of
2. Histologically confirmed non-small cell carcinoma
3. Have an Eastern Cooperative Oncology Group (ECOG) performance status of 0 to 1. Evaluation of ECOG is to be performed within 7 days prior to the date of allocation/randomization.
4. Received one or two cytotoxic chemotherapy for advanced NSCLC including at least one platinum-doublet
5. Has received prior therapy with an anti-PD-1, anti-PD-L1 agents (monotherapy) and progression to last PD-1/PD-L1 inhibitors. The last PD-1/PD-L1 inhibitor should be administered 6 weeks before the study enrollment, and no other systemic therapy should be done between the interval.
6. At least one measurable lesion Have measurable disease based on RECIST 1.1. Lesions situated in a previously irradiated area are considered measurable if progression has been demonstrated in such lesions.
7. Available data for PD-L1 IHC results (any of one tested by 22C3, SP263, or SP142) irrespective of expression level.
8. EGFR and ALK wild type","1. A WOCBP who has a positive urine pregnancy test within 72 hours prior to [randomization/allocation] (see Appendix 3). If the urine test is positive or cannot be confirmed as negative, a serum pregnancy test will be required.
2. Has received prior systemic anti-cancer therapy including investigational agents within 3 weeks [could consider shorter interval for kinase inhibitors or other short half-life drugs] prior to [randomization /allocation].
Note: Participants must have recovered from all AEs due to previous therapies to ≤Grade 1 or baseline. Participants with ≤Grade 2 neuropathy may be eligible.
Note: If participant received major surgery, they must have recovered adequately from the toxicity and/or complications from the intervention prior to starting study treatment.
3. Has received prior radiotherapy within 2 weeks of start of study treatment. Participants must have recovered from all radiation-related toxicities, not require corticosteroids, and not have had radiation pneumonitis. A 1-week washout is permitted for palliative radiation (≤2 weeks of radiotherapy) to non-CNS disease.
4. Has received a live vaccine within 30 days prior to the first dose of study drug. Examples of live vaccines include, but are not limited to, the following: measles, mumps, rubella, varicella/zoster (chicken pox), yellow fever, rabies, Bacillus Calmette-Guérin (BCG), and typhoid vaccine. Seasonal influenza vaccines for injection are generally killed virus vaccines and are allowed; however, intranasal influenza vaccines (eg, FluMist®) are live attenuated vaccines and are not allowed.
5. Is currently participating in or has participated in a study of an investigational agent or has used an investigational device within 3 weeks prior to the first dose of study treatment.
Note: Participants who have entered the follow-up phase of an investigational study may participate as long as it has been 4 weeks after the last dose of the previous investigational agent.
6. Has a diagnosis of immunodeficiency or is receiving chronic systemic steroid therapy (in dosing exceeding 10 mg daily of prednisone equivalent) or any other form of immunosuppressive therapy within 7 days prior to the first dose of study drug.
7. Has a known additional malignancy that is progressing or has required active treatment within the past 2 years. Note: Participants with basal cell carcinoma of the skin, squamous cell carcinoma of the skin, well differentiated thyroid carcinoma, or carcinoma in situ (e.g. breast carcinoma, cervical cancer in situ) that have undergone potentially curative therapy are not excluded.
8. Has known active CNS metastases and/or carcinomatous meningitis. Participants with previously treated brain metastases may participate provided they are radiologically stable, i.e. without evidence of progression for at least 4 weeks by repeat imaging (note that the repeat imaging should be performed during study screening), clinically stable and without requirement of steroid treatment for at least 14 days prior to first dose of study treatment. Patients with oligo (≤5) brain metastasis with size less than 1cm can be enrolled without prior radiotherapy, if the tumors are regarded as asymptomatic and stable, based on follow-up brain MRIs checked intervals of at least 3 months. However, all patients with previously non-irradiated brain metastases should have brain MRI checked within 4 weeks before starting administration of study drugs.
9. Has severe hypersensitivity (≥Grade 3) to pembrolizumab and/or any PD-1/PD-L1 inhibitors.
10. Has active autoimmune disease that has required systemic treatment in the past 2 years (i.e. with use of disease modifying agents, corticosteroids or immunosuppressive drugs). Replacement therapy (eg., thyroxine, insulin, or physiologic corticosteroid replacement therapy for adrenal or pituitary insufficiency, etc.) is not considered a form of systemic treatment.
11. Has a history of (non-infectious) pneumonitis that required steroids or has current pneumonitis.
12. Has an active infection requiring systemic therapy.
13. Has a know"
680,NCT02777567,KOREA Study (Korea Osimertinib Real World Evidence Study to Assess Safety and Efficacy),KOREA,"Active, not recruiting",No Results Available,Non-Small Cell Lung Cancer,,"Proportion (%) of patients with adverse events (AEs), serious adverse events (SAEs) and AEs of special interest (AESI)|Severity of (S)AEs|ORR (Objective response rate), if available|PFS (Progression free survival), if available",AstraZeneca,All,"Child, Adult, Older Adult",,319,Industry,Observational,Observational Model: Case-Only|Time Perspective: Prospective,D5160R00009,29.Sep.16,11.Mar.20,11.Mar.20,19.May.16,,12.Dec.19,"Research Site, South Korea, Korea, Republic of",,https://ClinicalTrials.gov/show/NCT02777567,"1. Eligible for, or on active study drug treatment according to the approved label; patients with locally advanced or metastatic, EGFR T790M mutation-positive NSCLC, who have progressed on or after EGFR tyrosine kinase receptor (TKI) therapy
2. Provision of signed and dated written informed consent by the patient or legally acceptable representative","1. History of hypersensitivity to excipients of the study drug or to drugs with a similar chemical structure or class to the study drug
2. Pregnancy and/or breast feeding
3. Current participation in any interventional trial"
684,NCT01243775,BELotaxel(Docetaxel) and bellOXa(Oxaliplatin) in Advanced NSCLC,BELOXAN,Completed,Has Results,Non-Small Cell Lung Cancer,Drug: Belotaxel|Drug: Belloxa,Response Rate|Progression Free Survival|Overall Survival|Neutropenia Grade 3-4,Chonnam National University Hospital|Chong Kun Dang Pharmaceutical,All,"18 Years and older 혻 (Adult, Older Adult)",Phase 2,33,Other|Industry,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,m601NSC10B,Nov.10,Jan.13,Jan.13,19.Nov.10,17.Aug.15,17.Aug.15,"Chonnam National University Hwasun Hospital, Hwasun, Jeonnam, Korea, Republic of",,https://ClinicalTrials.gov/show/NCT01243775,"1. Stage IIIB/IV or Relapsed NSCLC
2. Age >= 18 years
3. At least one measurable lesion by RECIST (version 1.1)
4. ECOG PS 0, 1, 2
5. Hematologic profile
1) Hgb > 8 g/dL, ANC >= 2,000/m3, Platelet >= 100,000/m3
6. Hepatic profile
1) Total bilirubin <= 1.5 x upper normal value
2) Transaminases <= 3 x upper normal value <= 5 x upper normal value in case of liver metastasis
7. Creatinine <= 1.5mg/dL
8. Patients should be recovered from toxicities of previous treatment.
9. Written informed consent by patient or surrogates","1. Patients who had been previously treated with chemotherapy for NSCLC
2. Active infection requiring antibiotics treatment
3. Prior diagnosis of other malignancy except radically treated basal cell or squamous cell carcinoma of the skin and carcinoma in situ of the uterine cervix
4. Peripheral neuropathy >= grade 2 by NCI CTCAE 4.0
5. Uncontrolled hypertension, Acute myocardial infarction within 6 months Unstable angina, Congestive heart failure >= NYHA grade 2 Uncontrolled significant arrhythmia
6. Patients who entered other clinical trials within 4 weeks
7. Pregnant or lactating women. women with child bearing age who are not willing to a contraceptive measure"
689,NCT03126799,A Study of Tarceva vs. Avastin+Tarceva for Advanced NSCLC With EGFR m(+),AvaTa,Recruiting,No Results Available,EGFR Positive Non-small Cell Lung Cancer,Drug: Erlotinib plus Bevacizumab|Drug: Erlotinib,PFS|ORR|OS,"National Cancer Center, Korea|Roche Korea co.,Ltd.",All,"19 Years and older 혻 (Adult, Older Adult)",Phase 2,128,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,NCC-2016-0107,1.Nov.16,31.Dec.19,31.Dec.20,24.Apr.17,,18.Jun.18,"National Cancer Center, Goyang-Si, Gyeonggi-do, Korea, Republic of",,https://ClinicalTrials.gov/show/NCT03126799,"1. Pathologically confirmed stage IIIB & IV non-small cell lung cancer other than squamous cell carcinoma
2. Patients with one or more measurable lesion based on Response Evaluation Criteria in Solid Tumors (RECIST 1.1)
3. Locally diagnosed sensitive EGFR mutation positive (Exon 19 deletion or L858R)
4. ECOG performance 0~1
5. Age ≥ 19 years and - No previous treatment
Adequate organ function by following:
6. ANC ≥1,500/uL, hemoglobin ≥9.0g/dL, platelet ≥100,000/uL
7. Serum bilirubin < 1 x UNL, AST (SGOT) and ALT (SGPT) < 2.5 x UNL, If Liver metastasis, Serum bilirubin < 3 x UNL, AST (SGOT) and ALT (SGPT) < 5 x UNL
8. Serum Cr ≤ 1 x UNL
9. Patients who have had undergone radiotherapy are acceptable if patients meet all of the following criteria:
1) No history of irradiation to pulmonary tumor lesions.
2) In case of palliative irradiation to bone lesions in lung: at least 12 weeks must have passed at the date of registration since the last irradiation of the sites.
3) In case of irradiation to non-pulmonary sites: at least two weeks must have passed at the date of inclusion since the last irradiation of the sites
10. At the time of registration, at least the following period has passed since last date of the prior therapy or procedure:
1) Surgery(including exploratory/ examination thoracotomy): 4 weeks
2) Pleural cavity drainage: 1 weeks
3) Pleurodesis without anti-neoplastic agents (inclusive of BRM such as Picibanil): 2 week
4) Biopsy accompanied by incision (including thoracoscopic biopsy): 2 week
5) Procedure for trauma (exclusive of patients with unhealed wound): 2 weeks
6) Transfusion of blood, preparation of hematopoietic factor: 2 week
7) Puncture and aspiration cytology: 1 week
8) Other investigational product: 4 weeks
11. Written informed consent form","1. Previous history of malignancy within 3 years from study entry except treated non-melanomatous skin cancer, uterine cervical cancer in situ, or thyroid cancer
2. Prior chemotherapy or systemic anti-cancer therapy for metastatic disease but postoperative adjuvant or neoadjuvant therapy of 6 months or more previously is allowed
3. Patients who received previous treatment for lung cancer with drugs
4. Symptomatic or uncontrolled central nervous system (CNS) metastases
5. Patients with increased risk of bleeding, clinically significant cardiovascular diseases, a history of thrombosis or thromboembolism in the 6 months prior to treatment, gastrointestinal problems, and neurologic problems
6. Any significant ophthalmologic abnormality
7. Pre-existing parenchymal lung disease such as pulmonary fibrosis
8. Known allergic history of Erlotinib or Bevacizumab
9. Interstitial lung disease or fibrosis on chest radiogram
10. Active infection, uncontrolled systemic disease (cardiopulmonary insufficiency, fatal arrhythmias, hepatitis)
11. Pregnant or nursing women"
690,NCT01401192,Pemetrexed/Cisplatin Versus Gemcitabine/Cisplatin According to Thymidylate Synthase Expression,,Unknown status,No Results Available,Non-small Cell Lung Cancer,Drug: Gemcitabine plus cisplatin|Drug: pemetrexed plus cisplatin,predictive value of TS expression|response rate,Samsung Medical Center,All,"18 Years and older 혻 (Adult, Older Adult)",Phase 2,304,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,2011-06-006,Jul.11,Dec.13,,25.Jul.11,,25.Jul.11,"Samsung Medical Center, Seoul, Korea, Republic of",,https://ClinicalTrials.gov/show/NCT01401192,"1. Histologically confirmed nonsquamous NSCLC
2. Stage IIIb, IV or recurrent NSCLC
3. Age ≥ 18years
4. ECOG performance status of 0 to 1
5. Known TS immunohistochemical analysis data
6. At least one measurable lesion by RECIST 1.1
7. No previous chemotherapy or therapy with EGFR TKIs for advanced NSCLC
8. Asymptomatic brain metastasis or symptomatic brain metastasis treated with local treatment such as operation, whole brain radiotherapy, or gamma-knife surgery
9. At least 2 weeks later after whole brain radiotherapy or palliative radiotherapy
10. Adequate renal function: estimated creatinine clearance ≥ 50mL/min","1. Patients whose disease recurred within 6 months after the completion of adjuvant chemotherapy.
2. Patients with post-obstructive pneumonia or uncontrolled serious infection"
691,NCT02416739,Anticancer Activity of Nicotinamide on Lung Cancer,,"Active, not recruiting",No Results Available,Non-Small-Cell Lung Carcinoma,Drug: Nicotinamide,Hazard ratio (PFS) of the nicotinamide arm to the placebo arm|Response rate|Difference in quality of life between the nicotinamide arm and the placebo arm|Overall survival,"Il Yeong Park, Ph.D.|Chungbuk National University",All,"18 Years and older 혻 (Adult, Older Adult)",Phase 2|Phase 3,110,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",Amina-X-002,Mar.15,Mar.20,Jun.20,15.Apr.15,,27.Jan.20,"Chonnam National University Hwasun Hospital, Hwasun, Chonnam, Korea, Republic of",,https://ClinicalTrials.gov/show/NCT02416739,"1. Operation-impossible stage 4 non-small-cell lung carcinoma (NSCLC), or recurred terminal stage NSCLC after previous operation or radiation therapy
2. EGFR mutated (exon 19 deletion or L858R mutation)
3. Life expectation more than 3 months
4. More than 1 measurable lesions by RECIST 1.1 which were not exposed to radiation previously
5. ECOG (Eastern Cooperative Oncology Group ) performance status grade 0~2
6. Who signed the informed consent form","1. Who had received chemotherapy or EGFR tyrosin kinase inhibitors previously, except whom had received operation at least 6 months ago and received supplementary chemotherapy
2. Who has metastasized brain lesion that needs operation or radiation therapy
3. Above grade 2, CTCAE (Common Toxicity Criteria for Adverse Effects) 4.0 criteria for blood, liver and kidney
4. Who does Not agree to contraception
5. Who has allergy to nicotinamide"
695,NCT01156545,BIBW 2992 Plus Simvastatin vs. BIBW 2992 in Previously Treated Patients With Advanced Non-adenocarcinomatous NSCLC,,"Active, not recruiting",No Results Available,Non-small Cell Lung Cancer,Drug: BIBW 2992|Drug: simvastatin,Objective response rate|Disease Control Rate|Progression-Free Survival|Overall Survival|Adverse event|Pharmacogenetic and biomarkers analyses,"National Cancer Center, Korea|Boehringer Ingelheim",All,"18 Years and older 혻 (Adult, Older Adult)",Phase 2,84,Other|Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,NCCCTS-10-489|BIBW 2992 1200.113,Oct.10,31.Dec.16,Dec.19,5.Jul.10,,18.Jun.18,"National Cancer Center, Goyang-si, Gyeonggi-do, Korea, Republic of",,https://ClinicalTrials.gov/show/NCT01156545,"1. Pathologically confirmed diagnosis of Stage IIIB or Stage IV non-adenocarcinomatous non-small cell lung cancer (e.g., squamous cell or large cell carcinoma).(The 7th edition of the TNM classification for lung cancer47-See Appendix 6)
2. Progressive disease following the first or second line cytotoxic chemotherapy regimen(s) including at least one platinum-containing regimen.
3. Measurable disease according to RECIST 1.1.40
4. Eastern Cooperative Oncology Group (ECOG) score of 0, 1 or 2.41
5. Age ≥ 18 years.
6. Life expectancy of at least three (3) months.
7. Written informed consent that is consistent with ICH-GCP guidelines.","1. More than three (3) prior cytotoxic chemotherapy treatment regimen for relapsed or metastatic NSCLC.
2. Prior treatment with EGFR targeting small molecules or antibodies (e.g., gefitinib, erlotinib, cetuximab).
3. Chemotherapy, hormonal therapy (other than megestrol acetate or steroids required for maintenance non-cancer therapy), immunotherapy or surgery (other than biopsy) within 4 weeks prior to study entry.
4. Radiotherapy within 2 weeks prior to study entry. Only palliative radiotherapy to non-target lesion should be allowed for the entered cases.
5. Active brain metastases with clinically significant neurological symptoms or signs. Patients with brain metastasis are allowed unless there were clinically significant neurological symptoms or signs.
6. Any other current malignancy or malignancy diagnosed within the past five (5) years (other than non-melanomatous skin cancer and in situ cervical cancer).
7. Known pre-existing interstitial lung disease.
8. Significant or recent acute gastrointestinal disorders with diarrhea as a major symptom e.g. Crohn's disease, malabsorption or CTC grade ≥2 diarrhea of any etiology.
9. Absolute neutrophil count (ANC) <1500 / mm3.
10. Platelet count < 100,000 / mm3.
11. Serum creatinine >1.5 times upper limit of normal (ULN) or creatinine clearance < 60 ml / min
12. Bilirubin > 1.5 times upper limit of normal.
13. Aspartate amino transferase (AST) or alanine amino transferase (ALT) > 3 times the upper limit of normal (ULN) (if related to liver metastases > 5 times ULN).
14. History or presence of clinically relevant cardiovascular abnormalities such as uncontrolled hypertension, congestive heart failure NYHA classification of 3, unstable angina or poorly controlled arrhythmia. Myocardial infarction within 6 months prior to study entrance.
15. Cardiac left ventricular function with resting ejection fraction of less than 50%.
16. Any other concomitant serious illness or organ system dysfunction which in the opinion of the investigator would either compromise patient safety or interfere with the evaluation of the safety of the test drug.
17. Women of childbearing potential, or men who are able to father a child, unwilling to use a medically acceptable method of contraception during the trial.
18. Pregnancy or breast-feeding.
19. Patients unable to comply with the protocol.
20. Active hepatitis B infection, active hepatitis C infection or known HIV carrier.
21. Known or suspected active drug or alcohol abuse.
22. Requirement for treatment with any of the prohibited concomitant medications listed in Section 4.2.2.
23. Any contraindications for therapy with simvastatin.
24. Known hypersensitivity to BIBW 2992 or the excipients of any of the trial drugs.
25. Use of any investigational drug within 4 weeks of randomization (unless a longer time period is required by local regulations)."
